Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:26.000000000",0.0,65,0xebe5,0xffff,69.0,0xebe5,0xfffc
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:41.031241000",1.716018,65,0xebe5,0xffff,70.0,0xebe5,0xfffc
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:51.248683000",0.013004,47,0xebe5,0xffff,131.0,0xebe5,0xfffc
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:51.296740000",0.048057,51,0xebe5,0xffff,132.0,0xebe5,0xfffc
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:51.300078000",0.003338,56,0xebe5,0xffff,133.0,0xebe5,0xfffc
Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.320497000",0.007711,77,0x0000,0xebe5,132.0,0x0000,0xebe5
Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.329908000",0.006593,57,0x0000,0xebe5,133.0,0x0000,0xebe5
Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.347192000",0.00718,59,0x0000,0xebe5,135.0,0x0000,0xebe5
Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.351633000",0.004441,59,0x0000,0xebe5,135.0,0x0000,0xebe5
Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.357328000",0.005695,59,0x0000,0xebe5,135.0,0x0000,0xebe5
Moes Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:51.373830000",0.004047,58,0xebe5,0x0000,134.0,0xebe5,0x0000
Moes Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:51.395309000",0.002122,45,0xebe5,0x0000,135.0,0xebe5,0x0000
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.405257000",0.003685,77,0x054f,0xebe5,71.0,0x054f,0xebe5
Moes Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:51.435341000",0.027268,45,0xebe5,0x0000,135.0,0xebe5,0x0000
Moes Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:51.438117000",0.000954,52,0xebe5,0x0000,136.0,0xebe5,0x0000
Moes Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:51.441099000",0.000935,45,0xebe5,0x0000,137.0,0xebe5,0x0000
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.465195000",0.002148,45,0x054f,0xebe5,72.0,0x0000,0xebe5
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:51.549402000",0.028671,56,0xebe5,0xffff,138.0,0xebe5,0xfffc
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:51.559004000",0.009602,51,0xebe5,0xffff,139.0,0xebe5,0xfffc
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,"Oct 13, 2023 16:44:51.740080000",0.002776,77,0x054f,0xebe5,75.0,0x054f,0xebe5
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:51.795160000",0.011316,56,0xebe5,0xffff,140.0,0xebe5,0xfffc
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:51.809284000",0.004331,51,0xebe5,0xffff,141.0,0xebe5,0xfffc
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,"Oct 13, 2023 16:44:52.158201000",0.012398,77,0x054f,0xebe5,79.0,0x054f,0xebe5
Moes Bulb,Bulb,Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:52.254912000",0.015212,52,0xebe5,0x054f,145.0,0xebe5,0x0000
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:52.280690000",0.002525,45,0x054f,0xebe5,81.0,0x0000,0xebe5
Moes Bulb,Bulb,Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,"Oct 13, 2023 16:44:52.321180000",0.004472,51,0xebe5,0xffff,146.0,0xebe5,0xfffc
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,"Oct 13, 2023 16:44:52.562094000",0.007552,77,0x054f,0xebe5,84.0,0x054f,0xebe5
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:53.587367000",0.007672,48,0x054f,0xebe5,86.0,0x0000,0xebe5
Moes Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:53.598473000",0.005664,50,0xebe5,0x0000,149.0,0xebe5,0x0000
Moes Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,"Oct 13, 2023 16:44:53.602711000",0.002256,52,0xebe5,0x0000,150.0,0xebe5,0x0000
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:53.628255000",0.003157,45,0x054f,0xebe5,87.0,0x0000,0xebe5
Moes Bulb,Bulb,Ledvance Bulb,Bulb,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,"Oct 13, 2023 16:44:55.582675000",0.002192,48,0x054f,0xebe5,88.0,0x0000,0xebe5
