Dataset,Window Size,Weighted F1-Score
topology_A-Duration,1s,0.6700060638622457
topology_A-Duration,2s,0.8452557546135397
topology_A-Duration,3s,0.8791505650204539
topology_A-Duration,5s,0.9363725280015095
topology_B-Duration,1s,0.6999885069511407
topology_B-Duration,2s,0.8436308199677667
topology_B-Duration,3s,0.9098222873940488
topology_B-Duration,5s,0.9478192750564489
