Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,57.285714285714285,4.535573676110727,59.0,47.0,59.0,6.9999999999999964,-2.6457513110645894,2.9387755102040822,7.0,0.41676683333333336,0.5939801664289529,1.603013,0.018476,0.2669995,5.144526739329747,2.212101755707526,0.39541538888888894,57.285714285714285,4.535573676110727,59,47,59.0,6.9999999999999964,-2.6457513110645894,2.9387755102040822,7,0.41676683333333336,0.5939801664289529,1.603013,0.018476,0.2669995,5.144526739329747,2.212101755707526,0.39541538888888894,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,52.2,3.8340579025361627,56.0,47.0,51.0,-1.3341663195890572,-0.2537231153976026,3.0400000000000005,5.0,0.8114337500000001,1.4544417999166954,2.986859,0.005879,0.1264985,3.880299431588064,1.9664231368272738,1.087712625,52.2,3.8340579025361627,56,47,51.0,-1.3341663195890572,-0.2537231153976026,3.0400000000000005,5,0.8114337500000001,1.4544417999166954,2.986859,0.005879,0.1264985,3.880299431588064,1.9664231368272738,1.087712625,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,52.0,3.4641016151377544,56.0,47.0,51.0,-0.708333333333333,0.0,2.6666666666666665,6.0,0.6999500000000001,1.2840147369010215,2.986859,0.005879,0.241687,4.827008002899527,2.187620007799082,0.9147636,52.0,3.4641016151377544,56,47,51.0,-0.708333333333333,0.0,2.6666666666666665,6,0.6999500000000001,1.2840147369010215,2.986859,0.005879,0.241687,4.827008002899527,2.187620007799082,0.9147636,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,55.666666666666664,3.708099243547832,59.0,51.0,56.0,-1.8559622195985859,-0.4938295096483982,3.111111111111112,9.0,0.29823687499999996,0.34616149150584835,1.110642,0.005879,0.2540165,5.83821868831874,2.2365632726024267,0.20310128124999993,55.666666666666664,3.708099243547832,59,51,56.0,-1.8559622195985859,-0.4938295096483982,3.111111111111112,9,0.29823687499999996,0.34616149150584835,1.110642,0.005879,0.2540165,5.83821868831874,2.2365632726024267,0.20310128124999993,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,55.45454545454545,3.9080336836735774,59.0,50.0,56.0,-1.9214143990929715,-0.4183486549132795,3.4214876033057853,11.0,0.34750949999999997,0.3349626996976264,1.110642,0.005879,0.2540735,2.404045224434044,1.5562335440480506,0.23146269999999997,55.45454545454545,3.9080336836735774,59,50,56.0,-1.9214143990929715,-0.4183486549132795,3.4214876033057853,11,0.34750949999999997,0.3349626996976264,1.110642,0.005879,0.2540735,2.404045224434044,1.5562335440480506,0.23146269999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,55.45454545454545,3.9080336836735774,59.0,50.0,56.0,-1.9214143990929715,-0.4183486549132795,3.4214876033057853,11.0,0.34750949999999997,0.3349626996976264,1.110642,0.005879,0.2540735,2.404045224434044,1.5562335440480506,0.23146269999999997,55.45454545454545,3.9080336836735774,59,50,56.0,-1.9214143990929715,-0.4183486549132795,3.4214876033057853,11,0.34750949999999997,0.3349626996976264,1.110642,0.005879,0.2540735,2.404045224434044,1.5562335440480506,0.23146269999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,56.875,3.943801646707328,59.0,50.0,59.0,0.12807111664146742,-1.45994911224319,3.1875,8.0,0.6276777142857143,0.4805867062229646,1.43154,0.254018,0.352384,-0.7085133774000418,0.9589066701926007,0.3988471020408163,56.875,3.943801646707328,59,50,59.0,0.12807111664146742,-1.45994911224319,3.1875,8,0.6276777142857143,0.4805867062229646,1.43154,0.254018,0.352384,-0.7085133774000418,0.9589066701926007,0.3988471020408163,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,57.714285714285715,3.401680257083045,59.0,50.0,59.0,7.000000000000007,-2.6457513110645916,2.2040816326530606,7.0,0.5471836666666667,0.47194305624753785,1.43154,0.254018,0.3032995,2.731572523640976,1.7568022658638132,0.3579962222222222,57.714285714285715,3.401680257083045,59,50,59.0,7.000000000000007,-2.6457513110645916,2.2040816326530606,7,0.5471836666666667,0.47194305624753785,1.43154,0.254018,0.3032995,2.731572523640976,1.7568022658638132,0.3579962222222222,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,56.0,5.196152422706632,59.0,50.0,59.0,,-1.7320508075688774,4.0,3.0,0.891962,0.7630785255581499,1.43154,0.352384,0.891962,,,0.5395780000000001,56.0,5.196152422706632,59,50,59.0,,-1.7320508075688774,4.0,3,0.891962,0.7630785255581499,1.43154,0.352384,0.891962,,,0.5395780000000001,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerMoesBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,15.0,0.06703535714285715,0.08006000059725123,0.2981,0.00819,0.0385375,5.002913263410979,2.154468267580343,0.05496256122448979,59.0,0.0,59,59,59.0,0.0,0.0,0.0,15,0.06703535714285715,0.08006000059725123,0.2981,0.00819,0.0385375,5.002913263410979,2.154468267580343,0.05496256122448979,,,,,,,,,,,,,,,,,
