File Name,Original Size (KB),Start Time,End Time,Delta Time (s),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
idel1.pcapng,1013.90234375,2023-10-12 16:12:33.000000,2023-10-12 17:15:52.737834,3799.7378339767456,407.6875,389.265625,341.73828125,368.9560546875,538.61328125,352.0185546875,485.0576171875,484.8974609375,384.509765625,514.4365234375,728.3057249316478,364.1528624658239,544.1560694285668
idle3.pcapng,1039.02734375,2023-10-12 18:13:30.000000,2023-10-12 19:12:29.791805,3539.7918050289154,404.423828125,382.6455078125,334.78515625,365.1318359375,537.486328125,345.361328125,482.849609375,482.6591796875,377.9541015625,511.79296875,736.9134561456932,368.4567280728466,545.3032353459768
idle2.pcapng,899.93359375,2023-10-12 17:16:36.000000,2023-10-12 18:13:02.642863,3386.642863035202,359.166015625,337.48046875,298.02734375,323.46484375,476.650390625,307.7431640625,427.4111328125,427.25390625,336.33203125,453.7373046875,641.318212569546,320.659106284773,476.1567627301735
