Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.850907000",0.005346,107,0xd8f7,0x2300,128.0,,
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,"Oct 13, 2023 18:11:47.856257000",0.00535,45,0x0000,0xe694,84.0,0x0000,0xe694
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.858048000",0.001791,5,,,84.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.862829000",0.004781,107,0xc8f0,0x0000,128.0,,
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:11:47.867963000",0.005134,52,0x0000,0xc8f0,85.0,0x0000,0xc8f0
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:11:47.872601000",0.004638,52,0x0000,0xc8f0,85.0,0x0000,0xc8f0
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.876237000",0.003636,34,,0x0000,129.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.878732000",0.002495,5,,,129.0,,
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,"Oct 13, 2023 18:11:47.881446000",0.002714,52,0x0000,0xc8f0,85.0,0x0000,0xc8f0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.883475000",0.002029,5,,,85.0,,
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:47.885422000",0.001947,63,0xc8f0,0x0007,130.0,,
