Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Motion,Bulb,"Oct 13, 2023 16:12:04.591066",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:04.593113",0.002047,5,,,0x0002,130.0,,,,,,AppInteraction4.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 16:12:05.088372",0.495259,68,0xebe5,0xffff,0x8841,154.0,0xebe5,0xfffc,0x1209,,,AppInteraction4.pcapng
Philips Motion,Bulb,"Oct 13, 2023 16:12:05.561872",0.4735,55,0xe5c4,0x0000,0x8861,131.0,0xe5c4,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:05.564014",0.002142,5,,,0x0002,131.0,,,,,,AppInteraction4.pcapng
Philips Motion,Bulb,"Oct 13, 2023 16:12:05.599592",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:05.601639",0.002047,5,,,0x0002,132.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:05.730108",,48,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:05.732027",0.001919,5,,,0x0002,147.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:05.735431",0.003404,55,0x482d,0x0000,0x8861,129.0,0x482d,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:05.737574",0.002143,5,,,0x0002,129.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:05.784257",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:05.786239",0.001982,5,,,0x0002,130.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:06.310217",0.523978,55,0x482d,0x0000,0x8861,131.0,0x482d,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:06.312359",0.002142,5,,,0x0002,131.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:06.315882",0.003523,55,0x482d,0x0000,0x8861,132.0,0x482d,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:06.318025",0.002143,5,,,0x0002,132.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:06.345273",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:06.347320",0.002047,5,,,0x0002,133.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:06.349458",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:06.351505",0.002047,5,,,0x0002,134.0,,,,,,AppInteraction4.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 16:12:06.433783",0.082278,12,0x2cae,0x0000,0x8863,82.0,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:06.434550",0.000767,5,,,0x0002,82.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:07.321022",0.886472,55,0x482d,0x0000,0x8861,135.0,0x482d,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:07.323165",0.002143,5,,,0x0002,135.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:07.358393",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:07.360440",0.002047,5,,,0x0002,136.0,,,,,,AppInteraction4.pcapng
Ledvance Z3 Plug,Socket,"Oct 13, 2023 16:12:09.490275",2.129835,74,0x09ac,0xffff,0x8841,231.0,0x09ac,0xfffc,0x1209,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:10.324723",0.834448,77,0x054f,0xffff,0x8841,116.0,0x054f,0xfffc,0x1209,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:10.359309",,48,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:10.361196",0.001887,5,,,0x0002,148.0,,,,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:12:10.365043",,48,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:10.366925",0.001882,5,,,0x0002,23.0,,,,,,AppInteraction4.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 16:12:10.375216",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:10.377199",0.001983,5,,,0x0002,155.0,,,,,,AppInteraction4.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 16:12:10.379453",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:10.381499",0.002046,5,,,0x0002,156.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:10.398616",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:10.400407",0.001791,5,,,0x0002,149.0,,,,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:12:10.404269",,45,,,,,,,,,,AppInteraction4.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 16:12:11.497176",1.092907,12,0x2cae,0x0000,0x8863,83.0,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:11.497943",0.000767,5,,,0x0002,83.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:12.157655",0.659712,55,0x054f,0x0000,0x8861,117.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:12.159797",0.002142,5,,,0x0002,117.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:12.202326",,76,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:12.205141",0.002815,5,,,0x0002,118.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:12.223090",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:12.224899",0.001809,5,,,0x0002,150.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:12.251903",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:12.253872",0.001969,5,,,0x0002,151.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:12.258135",0.004263,55,0x054f,0x0000,0x8861,119.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:12.260278",0.002143,5,,,0x0002,119.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:12.305817",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:12.307639",0.001822,5,,,0x0002,120.0,,,,,,AppInteraction4.pcapng
Power Plug 1,Socket,"Oct 13, 2023 16:12:12.459639",0.152,74,0x6e5f,0xffff,0x8841,2.0,0x6e5f,0xfffc,0x1209,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:12:13.084813",0.625174,77,0xe694,0xffff,0x8841,25.0,0xe694,0xfffc,0x1209,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:13.800384",,51,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.802385",0.002001,5,,,0x0002,152.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:13.817400",0.015015,55,0x054f,0x0000,0x8861,121.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.819542",0.002142,5,,,0x0002,121.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:13.820785",0.001243,55,0x054f,0x0000,0x8861,122.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.822928",0.002143,5,,,0x0002,122.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:13.853240",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.855223",0.001983,5,,,0x0002,123.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:13.861609",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.863656",0.002047,5,,,0x0002,124.0,,,,,,AppInteraction4.pcapng
Philips Lamp 2,Bulb,"Oct 13, 2023 16:12:13.875263",0.011607,74,0xa209,0xffff,0x8841,73.0,0xa209,0xfffc,0x1209,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:13.878377",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.880186",0.001809,5,,,0x0002,153.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:13.884966",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.886775",0.001809,5,,,0x0002,154.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:13.905965",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.907935",0.00197,5,,,0x0002,155.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:13.910618",0.002683,55,0x054f,0x0000,0x8861,125.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.912761",0.002143,5,,,0x0002,125.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:13.958835",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:13.960658",0.001823,5,,,0x0002,126.0,,,,,,AppInteraction4.pcapng
Power Plug 2,Socket,"Oct 13, 2023 16:12:15.490690",1.530032,107,0xc8f0,0xffff,0x886b,28.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:15.982387",,51,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:15.984388",0.002001,5,,,0x0002,156.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:15.999432",0.015044,55,0x054f,0x0000,0x8861,127.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.001575",0.002143,5,,,0x0002,127.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:16.003468",0.001893,55,0x054f,0x0000,0x8861,128.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.005611",0.002143,5,,,0x0002,128.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:16.035446",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.037429",0.001983,5,,,0x0002,129.0,,,,,,AppInteraction4.pcapng
Ledvance Smart+ Plug,Socket,"Oct 13, 2023 16:12:16.041979",0.00455,77,0x82eb,0xffff,0x8841,63.0,0x82eb,0xfffc,0x1209,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:16.045650",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.047697",0.002047,5,,,0x0002,130.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:16.075343",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.077153",0.00181,5,,,0x0002,157.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:16.086949",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.088758",0.001809,5,,,0x0002,158.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:16.093304",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.095273",0.001969,5,,,0x0002,159.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:16.097953",0.00268,55,0x054f,0x0000,0x8861,131.0,0x054f,0x0000,0x1a09,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.100095",0.002142,5,,,0x0002,131.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:12:16.146329",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.148152",0.001823,5,,,0x0002,132.0,,,,,,AppInteraction4.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 16:12:16.528521",0.380369,12,0x2cae,0x0000,0x8863,84.0,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:16.529287",0.000766,5,,,0x0002,84.0,,,,,,AppInteraction4.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 16:12:16.673705",0.144418,77,0x482d,0xffff,0x8841,137.0,0x482d,0xfffc,0x1209,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.666777",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.668794",0.002017,5,,,0x0002,160.0,,,,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:12:17.676574",,63,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.678973",0.002399,5,,,0x0002,26.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.705013",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.707028",0.002015,5,,,0x0002,161.0,,,,,,AppInteraction4.pcapng
Power Plug 1,Socket,"Oct 13, 2023 16:12:17.714863",,63,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.717262",0.002399,5,,,0x0002,3.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.718211",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.720003",0.001792,5,,,0x0002,162.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.744570",,54,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.746651",0.002081,5,,,0x0002,163.0,,,,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:12:17.754543",,66,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.757038",0.002495,5,,,0x0002,27.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.761779",,54,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.763860",0.002081,5,,,0x0002,164.0,,,,,,AppInteraction4.pcapng
Power Plug 1,Socket,"Oct 13, 2023 16:12:17.771828",,66,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.774323",0.002495,5,,,0x0002,4.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.795605",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.797400",0.001795,5,,,0x0002,165.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.811310",,54,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.813389",0.002079,5,,,0x0002,166.0,,,,,,AppInteraction4.pcapng
Power Plug 2,Socket,"Oct 13, 2023 16:12:17.821345",,66,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.823840",0.002495,5,,,0x0002,29.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.826497",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.828290",0.001793,5,,,0x0002,167.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.840613",,52,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.842632",0.002019,5,,,0x0002,168.0,,,,,,AppInteraction4.pcapng
Power Plug 2,Socket,"Oct 13, 2023 16:12:17.850368",,63,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.852767",0.002399,5,,,0x0002,30.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.856747",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:12:17.858538",0.001791,5,,,0x0002,169.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:12:17.868040",,45,,,,,,,,,,AppInteraction4.pcapng
