Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Ledvance Bulb,Bulb,"Oct 13, 2023 17:00:18.000000",0.0,71,0x054f,0xffff,0x8841,0.0,0x054f,0xfffc,0x1209,,,AppInteraction2.pcapng
Philips Lamp 2,Bulb,"Oct 13, 2023 17:00:20.848283",2.848283,68,0xa209,0xffff,0x8841,181.0,0xa209,0xfffc,0x1209,,,AppInteraction2.pcapng
Ledvance Z3 Plug,Socket,"Oct 13, 2023 17:00:21.327998",0.479715,71,0x09ac,0xffff,0x8841,76.0,0x09ac,0xfffc,0x1209,,,AppInteraction2.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 17:00:22.038838",0.71084,55,0x482d,0x0000,0x8861,226.0,0x482d,0x0000,0x1a09,,,AppInteraction2.pcapng
Unknown,Unknown,"Oct 13, 2023 17:00:22.040980",0.002142,5,,,0x0002,226.0,,,,,,AppInteraction2.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 17:00:22.075726",,52,,,,,,,,,,AppInteraction2.pcapng
Unknown,Unknown,"Oct 13, 2023 17:00:22.077773",0.002047,5,,,0x0002,227.0,,,,,,AppInteraction2.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 17:00:22.368501",0.290728,12,0x2cae,0x0000,0x8863,242.0,,,,,,AppInteraction2.pcapng
Unknown,Unknown,"Oct 13, 2023 17:00:22.369268",0.000767,5,,,0x0002,242.0,,,,,,AppInteraction2.pcapng
Power Plug 1,Socket,"Oct 13, 2023 17:00:27.005892",4.636624,68,0x6e5f,0xffff,0x8841,170.0,0x6e5f,0xfffc,0x1209,,,AppInteraction2.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 17:00:27.430622",0.42473,12,0x2cae,0x0000,0x8863,243.0,,,,,,AppInteraction2.pcapng
Unknown,Unknown,"Oct 13, 2023 17:00:27.431388",0.000766,5,,,0x0002,243.0,,,,,,AppInteraction2.pcapng
Smart Socket,Socket,"Oct 13, 2023 17:00:27.567008",0.13562,71,0xe694,0xffff,0x8841,164.0,0xe694,0xfffc,0x1209,,,AppInteraction2.pcapng
Unknown,Unknown,"Oct 13, 2023 17:00:29.955236",2.388228,55,0x4199,0x0000,0x8861,182.0,,,,,,AppInteraction2.pcapng
Philips Lamp 2,Bulb,"Oct 13, 2023 17:00:29.976877",0.021641,52,0xa209,0x0000,0x8861,183.0,,,,,,AppInteraction2.pcapng
Unknown,Unknown,"Oct 13, 2023 17:00:29.978924",0.002047,5,,,0x0002,183.0,,,,,,AppInteraction2.pcapng
