Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Smart Socket,Socket,"Oct 13, 2023 17:14:43.000000",0.0,77,0xe694,0xffff,0x8841,47.0,0xe694,0xfffc,0x1209,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:43.892595",0.892595,77,0x0000,0xffff,0x8841,103.0,0x0000,0xfffc,0x1209,,,AppInteraction3.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 17:14:45.302568",1.409973,65,0xebe5,0xffff,0x8841,2.0,0xebe5,0xfffc,0x1209,,,AppInteraction3.pcapng
Power Plug 2,Socket,"Oct 13, 2023 17:14:45.524036",0.221468,102,0xc8f0,0xffff,0x8866,230.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.149074",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.151080",0.002006,5,,,0x0002,104.0,,,,,,AppInteraction3.pcapng
Smart Socket,Socket,"Oct 13, 2023 17:14:47.158813",,63,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.161212",0.002399,5,,,0x0002,48.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.183349",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.185396",0.002047,5,,,0x0002,105.0,,,,,,AppInteraction3.pcapng
Philips Motion,Bulb,"Oct 13, 2023 17:14:47.188490",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.190496",0.002006,5,,,0x0002,126.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.194803",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.196596",0.001793,5,,,0x0002,106.0,,,,,,AppInteraction3.pcapng
Power Plug 1,Socket,"Oct 13, 2023 17:14:47.198379",0.001783,63,0x6e5f,0x0000,0x8861,226.0,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.200778",0.002399,5,,,0x0002,226.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.204689",,54,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.206768",0.002079,5,,,0x0002,107.0,,,,,,AppInteraction3.pcapng
Smart Socket,Socket,"Oct 13, 2023 17:14:47.214557",,66,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.217052",0.002495,5,,,0x0002,49.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.242533",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.244356",0.001823,5,,,0x0002,108.0,,,,,,AppInteraction3.pcapng
Philips Motion,Bulb,"Oct 13, 2023 17:14:47.247743",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.249524",0.001781,5,,,0x0002,127.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.255132",,54,,,,,,,,,,AppInteraction3.pcapng
Philips Motion,Bulb,"Oct 13, 2023 17:14:47.261367",0.006235,54,0xe5c4,0x6e5f,0x8861,128.0,,,,,,AppInteraction3.pcapng
Philips Motion,Bulb,"Oct 13, 2023 17:14:47.265845",,54,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.267914",0.002069,5,,,0x0002,128.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.269283",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.271065",0.001782,5,,,0x0002,110.0,,,,,,AppInteraction3.pcapng
Power Plug 1,Socket,"Oct 13, 2023 17:14:47.273839",,66,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.276334",0.002495,5,,,0x0002,227.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.279673",,54,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.281785",0.002112,5,,,0x0002,111.0,,,,,,AppInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 17:14:47.284933",,54,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.287045",0.002112,5,,,0x0002,23.0,,,,,,AppInteraction3.pcapng
Philips Lamp 2,Bulb,"Oct 13, 2023 17:14:47.291401",,54,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.293471",0.00207,5,,,0x0002,148.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.297991",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.300038",0.002047,5,,,0x0002,112.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.310006",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.311829",0.001823,5,,,0x0002,113.0,,,,,,AppInteraction3.pcapng
Philips Lamp 2,Bulb,"Oct 13, 2023 17:14:47.314598",0.002769,52,0xa209,0xc8f0,0x8861,149.0,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.316603",0.002005,5,,,0x0002,149.0,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.320022",0.003419,5,,,0x0002,231.0,,,,,,AppInteraction3.pcapng
Philips Motion,Bulb,"Oct 13, 2023 17:14:47.326166",,45,,,,,,,,,,AppInteraction3.pcapng
Power Plug 2,Socket,"Oct 13, 2023 17:14:47.331517",,63,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.333916",0.002399,5,,,0x0002,232.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.338754",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.340577",0.001823,5,,,0x0002,114.0,,,,,,AppInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 17:14:47.347837",,45,,,,,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 17:14:47.352286",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 17:14:47.354109",0.001823,5,,,0x0002,115.0,,,,,,AppInteraction3.pcapng
Philips Lamp 2,Bulb,"Oct 13, 2023 17:14:47.356424",,45,,,,,,,,,,AppInteraction3.pcapng
