Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 12, 2023 16:12:42.777939",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.780434",0.002495,5,,,0x0002,47,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.781819",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.783836",0.002017,5,,,0x0002,17,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.787599",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.789617",0.002018,5,,,0x0002,107,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.791406",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.793188",0.001782,5,,,0x0002,68,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.794525",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.796348",0.001823,5,,,0x0002,18,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.797497",0.001149,63,0xc8f0,0x0000,0x8861,11,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.799896",0.002399,5,,,0x0002,11,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.802297",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.804079",0.001782,5,,,0x0002,69,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.805796",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.807619",0.001823,5,,,0x0002,18,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.815434",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.817256",0.001822,5,,,0x0002,19,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.821164",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.822958",0.001794,5,,,0x0002,20,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.826880",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.828673",0.001793,5,,,0x0002,108,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:43.523181",0.694508,12,0x2cae,0xe694,0x8863,148,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:43.523918",0.000737,5,,,0x0002,148,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:43.944480",0.420562,77,0xe694,0xffff,0x8841,109,0xe694,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:44.758096",0.813616,74,0xc8f0,0xffff,0x8841,12,0xc8f0,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:47.197209",2.439113,104,0xa209,0xffff,0x8868,122,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:48.552353",1.355144,12,0x2cae,0xe694,0x8863,149,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:48.553089",0.000736,5,,,0x0002,149,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:50.400776",1.847687,77,0x482d,0xffff,0x8841,71,0x482d,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:51.949186",1.548410,77,0x054f,0xffff,0x8841,73,0x054f,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:52.427174",0.477988,76,0x09ac,0xffff,0x884c,60,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:53.584140",1.156966,12,0x2cae,0xe694,0x8863,150,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:53.584878",0.000738,5,,,0x0002,150,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:54.972252",1.387374,68,0xebe5,0xffff,0x8841,251,0xebe5,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:54.997434",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:54.999481",0.002047,5,,,0x0002,252,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.001130",,53,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.003209",0.002079,5,,,0x0002,253,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.004145",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.006192",0.002047,5,,,0x0002,254,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.029738",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.031530",0.001792,5,,,0x0002,21,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.035534",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.037470",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.042103",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.043893",0.001790,5,,,0x0002,22,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.047585",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.049370",0.001785,5,,,0x0002,111,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.053003",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.054797",0.001794,5,,,0x0002,23,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.058487",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.060273",0.001786,5,,,0x0002,112,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:55.681125",0.620852,77,0xe5c4,0xffff,0x8841,7,0xe5c4,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:56.064748",0.383623,71,0x6e5f,0xffff,0x8841,48,0x6e5f,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:56.113284",0.048536,77,0x82eb,0xffff,0x8841,250,0x82eb,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:57.287016",1.173732,77,0x0000,0xffff,0x8841,24,0x0000,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:58.615238",1.328222,12,0x2cae,0xe694,0x8863,151,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:58.615974",0.000736,5,,,0x0002,151,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:58.966532",0.350558,77,0xe694,0xffff,0x8841,113,0xe694,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:59.779735",0.813203,71,0xc8f0,0xffff,0x8841,13,0xc8f0,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:03.648396",3.868661,6,,,0x8863,152,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:03.649121",0.000725,5,,,0x0002,152,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:04.321289",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:04.323387",0.002098,5,,,0x0002,221,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:04.327506",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:04.329617",0.002111,5,,,0x0002,74,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:04.828875",0.499258,12,0x4e52,0x054f,0x8863,222,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:04.829628",0.000753,5,,,0x0002,222,,,,,,idel1.pcapng
"Oct 12, 2023 16:13:04.966731",0.137103,74,0xa209,0xffff,0x8841,123,0xa209,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:05.878833",0.912102,77,0x054f,0xffff,0x8841,75,0x054f,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:13:07.157584",1.278751,77,0x482d,0xffff,0x8841,72,0x482d,0xfffc,0x1209,,,idel1.pcapng
