Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Lamp 1,Bulb,"Oct 27, 2023 18:37:59.647854",0.006957,28,0x1cd8,,0x8000,134.0,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:37:59.658269",0.010415,28,0xe1a6,,0x8000,106.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:37:59.659957",,45,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:37:59.661749",0.001792,5,,,0x0002,195.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:37:59.674400",0.012651,28,0x4e11,,0x8000,52.0,,,,,,AppInteraction1.pcapng
Moes Bulb,Bulb,"Oct 27, 2023 18:37:59.708295",0.033895,28,0x1e15,,0x8000,23.0,,,,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:37:59.710404",0.002109,28,0x3d95,,0x8000,195.0,,,,,,AppInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 27, 2023 18:37:59.713361",0.002957,28,0xec7f,,0x8000,200.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:37:59.745309",0.031948,28,0x0000,,0x8000,196.0,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:37:59.921166",0.175857,77,0xe1a6,0xffff,0x8841,107.0,0xe1a6,0xfffc,0x1209,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:37:59.973451",,51,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:37:59.975466",0.002015,5,,,0x0002,197.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:37:59.979856",0.00439,55,0x1cd8,0x0000,0x8861,135.0,0x1cd8,0x0000,0x1a09,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:37:59.981998",0.002142,5,,,0x0002,135.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:38:00.028530",,50,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:00.030513",0.001983,5,,,0x0002,136.0,,,,,,AppInteraction1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 27, 2023 18:38:00.074450",0.043937,74,0x0112,0xffff,0x8841,178.0,0x0112,0xfffc,0x1209,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:38:00.567353",0.492903,77,0x3d95,0xffff,0x8841,196.0,0x3d95,0xfffc,0x1209,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:38:01.452007",,51,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.454022",0.002015,5,,,0x0002,198.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:38:01.457393",0.003371,55,0x1cd8,0x0000,0x8861,137.0,0x1cd8,0x0000,0x1a09,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.459536",0.002143,5,,,0x0002,137.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:38:01.506971",,50,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.508954",0.001983,5,,,0x0002,138.0,,,,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:38:01.547376",,53,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.549455",0.002079,5,,,0x0002,197.0,,,,,,AppInteraction1.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:38:01.550393",,53,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.552472",0.002079,5,,,0x0002,198.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:38:01.591192",,45,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.592983",0.001791,5,,,0x0002,199.0,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:38:01.596691",,45,,,,,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:38:01.601059",,45,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.602852",0.001793,5,,,0x0002,108.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:38:01.603956",,45,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.605749",0.001793,5,,,0x0002,200.0,,,,,,AppInteraction1.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:38:01.609384",,45,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.611174",0.00179,5,,,0x0002,109.0,,,,,,AppInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 27, 2023 18:38:01.628279",,55,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.637187",0.008908,55,0x5606,0xe7f8,0x8841,46.0,,,,,,AppInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 27, 2023 18:38:01.655517",0.01833,55,0x4e11,0xffff,0x8841,219.0,,,,,,AppInteraction1.pcapng
Philips Lamp 2,Bulb,"Oct 27, 2023 18:38:01.671306",0.015789,55,0x5bb9,0xffff,0x8841,34.0,,,,,,AppInteraction1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 27, 2023 18:38:01.677765",,49,,,,,,,,,,AppInteraction1.pcapng
Unknown,Unknown,"Oct 27, 2023 18:38:01.679716",0.001951,5,,,0x0002,179.0,,,,,,AppInteraction1.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:38:01.684337",,55,,,,,,,,,,AppInteraction1.pcapng
