Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Lamp 2,Bulb,"Oct 27, 2023 18:54:40.000000",0.0,104,0x5bb9,0xffff,0x8868,149.0,,,,,,AppInteraction3.pcapng
Moes Bulb,Bulb,"Oct 27, 2023 18:54:40.686435",0.686435,68,0x1e15,0xffff,0x8841,173.0,0x1e15,0xfffc,0x1209,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.466318",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.468334",0.002016,5,,,0x0002,158.0,,,,,,AppInteraction3.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:54:41.475643",,63,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.478042",0.002399,5,,,0x0002,97.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.525570",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.527588",0.002018,5,,,0x0002,159.0,,,,,,AppInteraction3.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:54:41.534894",,63,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.537293",0.002399,5,,,0x0002,161.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.566811",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.568603",0.001792,5,,,0x0002,160.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.573648",,54,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.575728",0.00208,5,,,0x0002,161.0,,,,,,AppInteraction3.pcapng
Smart Socket,Socket,"Oct 27, 2023 18:54:41.583025",,66,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.585520",0.002495,5,,,0x0002,98.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.586678",,54,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.588747",0.002069,5,,,0x0002,162.0,,,,,,AppInteraction3.pcapng
Power Plug 1,Socket,"Oct 27, 2023 18:54:41.596051",,66,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.598546",0.002495,5,,,0x0002,162.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.617385",,54,,,,,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.625340",,54,,,,,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.659660",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.661452",0.001792,5,,,0x0002,164.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.667844",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.669853",0.002009,5,,,0x0002,165.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.672358",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.674375",0.002017,5,,,0x0002,165.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.676007",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.678013",0.002006,5,,,0x0002,165.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.679112",,52,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.685244",0.006132,63,0x5235,0x2766,0x8861,87.0,,,,,,AppInteraction3.pcapng
Power Plug 2,Socket,"Oct 27, 2023 18:54:41.690375",0.005131,63,0xa706,0x0000,0x8861,87.0,,,,,,AppInteraction3.pcapng
Power Plug 2,Socket,"Oct 27, 2023 18:54:41.695473",0.005098,63,0xa706,0x0000,0x8861,87.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.701769",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.703561",0.001792,5,,,0x0002,166.0,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.707990",0.004429,63,,,0x2861,130.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.711241",,45,,,,,,,,,,AppInteraction3.pcapng
Unknown,Unknown,"Oct 27, 2023 18:54:41.713033",0.001792,5,,,0x0002,167.0,,,,,,AppInteraction3.pcapng
Coordinator,Coordinator,"Oct 27, 2023 18:54:41.718297",,54,,,,,,,,,,AppInteraction3.pcapng
