Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Ledvance Z3 Plug,Socket,71.0,0.0,1.422163,0.0,60.0,60.0,60.0
Philips Lamp 3,Bulb,74.0,0.0,0.012351,0.0,255.0,255.0,255.0
Unknown,Unknown,59.0,0.0,0.415004,0.1726381219661521,13.0,11.0,12.0
Power Plug 1,Socket,74.0,0.0,2.023126,0.0,127.0,127.0,127.0
Aqara Motion,Motion,57.0,0.0,1.528411,0.0,161.0,161.0,161.0
Unknown,Unknown,5.0,0.0,0.002206,0.0,161.0,161.0,161.0
Unknown,Unknown,47.0,0.0,3.717249,0.0,15.0,15.0,15.0
Smart Socket,Socket,74.0,0.0,0.129209,0.0,207.0,207.0,207.0
Unknown,Unknown,59.0,0.0,0.6255925,0.6158497013269553,18.0,17.0,17.5
Moes Bulb,Bulb,65.0,0.0,0.66474,0.0,71.0,71.0,71.0
Unknown,Unknown,59.0,0.0,0.319563,0.0,19.0,19.0,19.0
Ledvance Smart+ Plug,Socket,61.5,13.435028842544403,0.359441,0.08850431316043303,61.0,60.0,60.5
Unknown,Unknown,5.0,0.0,0.002046,0.0,61.0,61.0,61.0
Ledvance Bulb,Bulb,71.0,0.0,0.010252,0.0,63.0,63.0,63.0
Power Plug 1,Socket,64.5,2.1213203435596424,0.007823,9.19238815542505e-05,129.0,128.0,128.5
Smart Socket,Socket,58.0,11.357816691600547,0.007505666666666667,0.0013929875567762022,210.0,208.0,209.0
Unknown,Unknown,15.515151515151516,22.7350516990302,0.00640821212121212,0.013279411803986218,210.0,1.0,108.03030303030303
Unknown,Unknown,59.0,0.0,0.188429,0.0,23.0,23.0,23.0
Philips Lamp 3,Bulb,71.0,0.0,1.734136,0.0,7.0,7.0,7.0
Ledvance Z3 Plug,Socket,71.0,0.0,0.987222,0.0,64.0,64.0,64.0
Unknown,Unknown,57.0,0.0,0.847639,0.0,24.0,24.0,24.0
