Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:33:23.187766,57,0x27d7,0x0000,213.0,0x27d7,0x0000,0.521481
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:35:07.947842,57,0x27d7,0x0000,214.0,0x27d7,0x0000,0.187772
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:37:26.492195,57,0x27d7,0x0000,215.0,0x27d7,0x0000,0.074046
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:41:40.004456,57,0x27d7,0x0000,218.0,0x27d7,0x0000,0.004178
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:42:21.185457,57,0x27d7,0x0000,219.0,0x27d7,0x0000,4.881277
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:45:58.132357,57,0x27d7,0x0000,221.0,0x27d7,0x0000,2.040236
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:55:23.872040,57,0x27d7,0x0000,226.0,0x27d7,0x0000,0.949244
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:56:56.331257,57,0x27d7,0x0000,227.0,0x27d7,0x0000,1.349272
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 18:16:20.461642,57,0x27d7,0x0000,234.0,0x27d7,0x0000,1.253406
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 18:17:30.197497,57,0x27d7,0x0000,236.0,0x27d7,0x0000,3.72661
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-11-28 17:31:33.504579,71,0x0000,0xffff,142.0,0x0000,0xfffc,1.141425
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-11-28 17:31:39.869390,45,0x0000,0xe1a6,145.0,0x0000,0xe1a6,0.00373
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:31:39.873420,63,0x3d95,0x0000,252.0,0x3d95,0x0000,0.002238
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-11-28 17:31:39.877699,54,0x0000,0xe1a6,146.0,0x0000,0xe1a6,0.00188
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-11-28 17:31:39.887463,66,0xe1a6,0x0000,103.0,0xe1a6,0x0000,0.007692
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-11-28 17:31:39.924263,54,0x0000,0xec7f,148.0,0x0000,0x3d95,0.005641
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:31:39.943692,66,0x3d95,0x0000,253.0,0x3d95,0x0000,0.006542
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:31:39.954309,66,0x3d95,0x0000,253.0,0x3d95,0x0000,0.006882
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:31:39.977855,66,0x3d95,0x0000,254.0,0x3d95,0x0000,0.005293
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:31:39.996052,66,0x3d95,0x0000,255.0,0x3d95,0x0000,0.002142
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:31:40.001369,66,0x3d95,0x0000,255.0,0x3d95,0x0000,0.002175
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:31:40.009105,66,0x3d95,0x0000,0.0,0x3d95,0x0000,0.004699
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:31:40.013337,52,0x0000,0x711c,151.0,0x0000,0xb1bf,0.001737
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:31:40.026771,52,0x0000,0x711c,151.0,0x0000,0xb1bf,0.004831
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:31:40.029958,52,0x0000,0x711c,151.0,0x0000,0xb1bf,0.003187
Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,2023-11-28 17:31:40.037147,66,0xb1bf,0x0000,26.0,0xb1bf,0x0000,0.00178
