Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 27, 2023 18:54:41.824493000",0.002683,45,0x0000,0xa706,170.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.826284000",0.001791,5,,,170.0,,
"Oct 27, 2023 18:54:41.835019000",0.008735,45,0x0000,0xa706,170.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.836811000",0.001792,5,,,170.0,,
"Oct 27, 2023 18:54:41.853872000",0.017061,45,0x0000,0xa706,170.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.855652000",0.00178,5,,,170.0,,
"Oct 27, 2023 18:54:41.857677000",0.002025,45,0x0000,0xa706,170.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.859470000",0.001793,5,,,170.0,,
"Oct 27, 2023 18:54:41.864913000",0.005443,45,0x0000,0xa706,171.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.866705000",0.001792,5,,,171.0,,
"Oct 27, 2023 18:54:41.868747000",0.002042,45,0x0000,0xa706,171.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.870540000",0.001793,5,,,171.0,,
"Oct 27, 2023 18:54:41.872344000",0.001804,45,0x0000,0xa706,171.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.874135000",0.001791,5,,,171.0,,
"Oct 27, 2023 18:54:41.875628000",0.001493,45,0x0000,0xa706,171.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.877419000",0.001791,5,,,171.0,,
"Oct 27, 2023 18:54:41.883587000",0.006168,45,0x0000,0xa706,172.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.885378000",0.001791,5,,,172.0,,
"Oct 27, 2023 18:54:41.889007000",0.003629,45,0x0000,0xa706,172.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.893862000",0.004855,45,0x0000,0xa706,172.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.895655000",0.001793,5,,,172.0,,
"Oct 27, 2023 18:54:41.897707000",0.002052,45,0x0000,0xa706,172.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.899500000",0.001793,5,,,172.0,,
"Oct 27, 2023 18:54:41.910370000",0.01087,45,0x0000,0xa706,173.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.912162000",0.001792,5,,,173.0,,
