Device Name,Device Type,File Name,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.6,11.148990985734986,0.077721,0.1282482031375098,209.0,151.0,165.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,11.970797801316335,0.0774566,0.128441620383737,211.0,151.0,165.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,60.4,13.126309458488324,0.243943,0.3533194191464715,211.0,154.0,167.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,10.931605554537724,0.2282454,0.3639699596708498,218.0,155.0,180.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.2,11.388590782006348,0.1698686,0.3730615398708368,218.0,156.0,181.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.1701984,0.3728755430673886,221.0,160.0,194.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.8,9.011104260855047,0.1712936,0.3722648783592134,221.0,160.0,184.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0044142,0.0025959144246295,222.0,162.0,197.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0046994,0.0023568244100908,226.0,162.0,198.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,52.6,8.61974477580398,0.2742698,0.6041791544597512,226.0,163.0,199.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,50.8,9.17605579756357,0.2743107999999999,0.604156115001909,235.0,163.0,202.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,52.4,12.561846997953763,0.425317,0.6149923700425072,235.0,165.0,203.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.2,14.788509052639483,0.7650778,0.7723498756908684,235.0,165.0,193.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.6,13.501851724856111,0.7646632000000001,0.7728612115746915,239.0,165.0,195.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.4950988,0.7501793789392641,239.0,168.0,197.6
