Device_ID,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
0,0,0,0,0,0,163840,219522,0,0,0,0,0,0,0,91671,76315,0,36847,81096,66727,82782,0,72482,337701,101944,55606,3038,139034,12699,510,1279,155893,300928,6148,324879,99854,289450,309195,309195,72482,331691,126788,85948,98060,136944,103096,95993,96688,177050,319708,170954
0,356246,22100,289450,356246,356246,163840,219522,29127,38362,104301,0,95077,104301,104301,91671,76315,174476,73695,93642,66727,82782,112923,84562,205254,101944,7943,1663,135852,2567,630,1663,61704,67816,2392,0,0,0,0,0,84562,238382,0,0,0,0,0,0,0,70087,78831,0
0,356246,22100,289450,356246,356246,163840,219522,29127,38362,104301,0,95077,104301,104301,91671,76315,174476,73695,93642,66727,82782,112923,84562,205254,101944,7943,1663,135852,2567,630,1663,61704,67816,2392,0,0,0,0,0,84562,238382,0,0,0,0,0,0,0,70087,78831,0
0,356246,22100,289450,356246,356246,163840,219522,29127,38362,104301,0,95077,104301,104301,91671,76315,174476,73695,93642,66727,82782,112923,84562,205254,101944,7943,1663,135852,2567,630,1663,61704,67816,2392,0,0,0,0,0,84562,238382,0,0,0,0,0,0,0,70087,78831,0
0,356246,22100,289450,356246,356246,163840,219522,29127,38362,104301,0,95077,104301,104301,91671,76315,174476,73695,93642,66727,82782,112923,84562,205254,101944,7943,1663,135852,2567,630,1663,61704,67816,2392,0,0,0,0,0,84562,238382,0,0,0,0,0,0,0,70087,78831,0
0,356246,22100,289450,356246,356246,163840,219522,29127,38362,104301,0,95077,104301,104301,91671,76315,174476,73695,93642,66727,82782,112923,84562,205254,101944,7943,1663,135852,2567,630,1663,61704,67816,2392,0,0,0,0,0,84562,238382,0,0,0,0,0,0,0,70087,78831,0
0,430185,103302,365909,389855,430185,262144,190631,99032,76725,113070,150743,115610,105491,109981,156386,278776,186059,140268,161131,200182,82782,112923,90101,323538,177105,119156,7301,153377,64241,273,1656,232648,364927,19986,343363,98741,300373,309195,342803,84740,261962,110940,111733,104086,154749,146527,95819,97898,205117,342710,184573
0,430185,103302,365909,389855,430185,262144,190631,99032,76725,113070,150743,115610,105491,109981,156386,278776,186059,160550,200937,305040,82782,129055,114930,346515,222094,127100,6899,152852,64241,273,1444,242868,372160,19007,357281,203334,425984,309195,342803,239349,417956,175005,120328,103416,153930,146527,95819,97522,216425,351463,183491
0,430185,103302,365909,389855,430185,262144,190631,99032,76725,113070,150743,115610,105491,109981,156386,278776,186059,160550,200937,305040,82782,129055,114930,346515,222094,127100,6899,152852,64241,273,1444,242868,372160,19007,357281,203334,425984,309195,342803,239349,417956,175005,120328,103416,153930,146527,95819,97522,216425,351463,183491
0,430185,103302,365909,389855,430185,262144,190631,99032,76725,113070,150743,115610,105491,109981,156386,278776,186059,152100,202616,305040,82782,112923,115108,347564,221479,135043,20769,201065,233651,273,1656,258775,383654,65823,353846,201324,425984,309195,342803,241841,418498,176860,128923,118217,208791,286189,95819,97898,232809,364662,223629
