Device_ID,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
0,0,0,0,0,0,180143985094820128,241367813149807584,0,0,0,0,0,0,0,100793690425535728,83910194763112640,0,40514309900843056,89166723415360832,73367732111344800,91020118784751072,0,79695034880657264,371306180458786240,112089590725665712,61139776759454008,3340883778354247,152869694719711360,13963289128112904,561131322450830,1406988830503718,171406436650612832,330874287134568832,6759957589633628,357208585829044480,109790815711608848,318254373667515072,339964033409711296,339964033409711296,79695034880657264,364698801754827968,139405541406710304,94501762672692368,107818767671692704,150572272627223712,113355956600023168,105545814477410160,106310177616370128,194669572089579584,351523253691367936,187966190465351488
0,391697690667710848,24299688005650376,318254373667515072,391697690667710848,391697690667710848,180143985094820128,241367813149807584,32025597350190192,42180055046591960,114680576009240016,0,104538396944318032,114680576009240016,114680576009240016,100793690425535728,83910194763112640,191838402416327328,81028619801685856,102960863533230960,73367732111344800,91020118784751072,124160777419198912,92977540694100240,225679628414596128,112089590725665712,8734253822779144,1829213283774829,149370886563685120,2822576796615440,693075192854536,1829213283774829,67845319392965008,74564610893293648,2630245072237884,0,0,0,0,0,92977540694100240,262104438175613440,0,0,0,0,0,0,0,77061656360953488,86676356898901760,0
0,391697690667710848,24299688005650376,318254373667515072,391697690667710848,391697690667710848,180143985094820128,241367813149807584,32025597350190192,42180055046591960,114680576009240016,0,104538396944318032,114680576009240016,114680576009240016,100793690425535728,83910194763112640,191838402416327328,81028619801685856,102960863533230960,73367732111344800,91020118784751072,124160777419198912,92977540694100240,225679628414596128,112089590725665712,8734253822779144,1829213283774829,149370886563685120,2822576796615440,693075192854536,1829213283774829,67845319392965008,74564610893293648,2630245072237884,0,0,0,0,0,92977540694100240,262104438175613440,0,0,0,0,0,0,0,77061656360953488,86676356898901760,0
0,391697690667710848,24299688005650376,318254373667515072,391697690667710848,391697690667710848,180143985094820128,241367813149807584,32025597350190192,42180055046591960,114680576009240016,0,104538396944318032,114680576009240016,114680576009240016,100793690425535728,83910194763112640,191838402416327328,81028619801685856,102960863533230960,73367732111344800,91020118784751072,124160777419198912,92977540694100240,225679628414596128,112089590725665712,8734253822779144,1829213283774829,149370886563685120,2822576796615440,693075192854536,1829213283774829,67845319392965008,74564610893293648,2630245072237884,0,0,0,0,0,92977540694100240,262104438175613440,0,0,0,0,0,0,0,77061656360953488,86676356898901760,0
0,391697690667710848,24299688005650376,318254373667515072,391697690667710848,391697690667710848,180143985094820128,241367813149807584,32025597350190192,42180055046591960,114680576009240016,0,104538396944318032,114680576009240016,114680576009240016,100793690425535728,83910194763112640,191838402416327328,81028619801685856,102960863533230960,73367732111344800,91020118784751072,124160777419198912,92977540694100240,225679628414596128,112089590725665712,8734253822779144,1829213283774829,149370886563685120,2822576796615440,693075192854536,1829213283774829,67845319392965008,74564610893293648,2630245072237884,0,0,0,0,0,92977540694100240,262104438175613440,0,0,0,0,0,0,0,77061656360953488,86676356898901760,0
0,391697690667710848,24299688005650376,318254373667515072,391697690667710848,391697690667710848,180143985094820128,241367813149807584,32025597350190192,42180055046591960,114680576009240016,0,104538396944318032,114680576009240016,114680576009240016,100793690425535728,83910194763112640,191838402416327328,81028619801685856,102960863533230960,73367732111344800,91020118784751072,124160777419198912,92977540694100240,225679628414596128,112089590725665712,8734253822779144,1829213283774829,149370886563685120,2822576796615440,693075192854536,1829213283774829,67845319392965008,74564610893293648,2630245072237884,0,0,0,0,0,92977540694100240,262104438175613440,0,0,0,0,0,0,0,77061656360953488,86676356898901760,0
0,472993437787424384,113582442789658416,402321566711764288,428650302994853376,472993437787424384,288230376151712192,209601561985444768,108887030990646656,84360110093183920,124322120188093760,165743728013264000,127115307943048336,115989357911663024,120925626671933232,171948593634800704,306517687532700800,204574529972946944,154226742731780544,177165531080709664,220103196334034432,91020118784751072,124160777419198912,99067942680259072,355734865892695424,194730037867203168,131013807341687152,8028595960990396,168640771644626912,70634745424599360,300875064315078,1820872383311930,255799247939138496,401241945716199360,21975852026393296,377532522608972864,108567435325914928,330263972673836352,339964033409711296,376916645736853824,93172752613338464,288030527833223360,121979848730871488,122852291474500080,114444219343326784,170149401908236864,161108500057095552,105354185852196864,107640821183397376,225529602750448800,376813892502497664,202941078983680896
0,472993437787424384,113582442789658416,402321566711764288,428650302994853376,472993437787424384,288230376151712192,209601561985444768,108887030990646656,84360110093183920,124322120188093760,165743728013264000,127115307943048336,115989357911663024,120925626671933232,171948593634800704,306517687532700800,204574529972946944,176526635996530112,220933040389083840,335395346794719104,91020118784751072,141898031336227328,126367951645243856,380997581794172864,244195179795200224,139748061164466304,7586215155930584,168063264285061728,70634745424599360,300875064315078,1588403415571774,267036374597351008,409195010499797184,20898712931802924,392834694123930624,223568147470626720,468374361246531584,339964033409711296,376916645736853824,263167854510694272,459547688946359616,192421114326134016,132302467741769328,113707950319377104,169247888185831008,161108500057095552,105354185852196864,107227602283190768,237962726595913632,386437946183899136,201751268800102816
0,472993437787424384,113582442789658416,402321566711764288,428650302994853376,472993437787424384,288230376151712192,209601561985444768,108887030990646656,84360110093183920,124322120188093760,165743728013264000,127115307943048336,115989357911663024,120925626671933232,171948593634800704,306517687532700800,204574529972946944,176526635996530112,220933040389083840,335395346794719104,91020118784751072,141898031336227328,126367951645243856,380997581794172864,244195179795200224,139748061164466304,7586215155930584,168063264285061728,70634745424599360,300875064315078,1588403415571774,267036374597351008,409195010499797184,20898712931802924,392834694123930624,223568147470626720,468374361246531584,339964033409711296,376916645736853824,263167854510694272,459547688946359616,192421114326134016,132302467741769328,113707950319377104,169247888185831008,161108500057095552,105354185852196864,107227602283190768,237962726595913632,386437946183899136,201751268800102816
0,472993437787424384,113582442789658416,402321566711764288,428650302994853376,472993437787424384,288230376151712192,209601561985444768,108887030990646656,84360110093183920,124322120188093760,165743728013264000,127115307943048336,115989357911663024,120925626671933232,171948593634800704,306517687532700800,204574529972946944,167235760417765472,222778956024179392,335395346794719104,91020118784751072,124160777419198912,126562760436804896,382150780351361920,243518738853939264,148482314987245440,22836428804999132,221073775351716640,256902025595793856,300875064315078,1820872383311930,284526674680929248,421832285127020928,72373524048833280,389058218358629248,221358150143026976,468374361246531584,339964033409711296,376916645736853824,265907304788711232,460143510751373248,194460349816641088,141752644009038560,129981572163318432,229568492863980480,314669066891592448,105354185852196864,107640821183397376,255976763212398560,400950786266679168,245883228646213824
