Device_ID,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
0,1585335117274842,157354604379092,1199785185584306,1847630616357126,1588111447546438,1549770881858224,665086059599834,161964316874241,307063610957079,451094806256153,627068381914264,452232872880393,438493471396074,440493752527250,795190143452018,1359736074017262,782454571984199,559983936806869,587488901857159,591097451092377,355547339002933,431852019062924,290814046420590,1288065753624311,619216841703303,305799974697996,8047024264249,553339704765092,24623803846737,418944860825,6561602436890,255224653120455,775415921688181,13011454283622,1137751484809388,325329878413140,1058538373954603,1327984505506684,1090345172942330,476598841408693,1772089554374892,343222926294270,273867544907665,415677104235935,563103876823983,412697657563065,406002000148179,414898673492963,224338028728763,577787905185992,717790466721147
0,1337029616978782,683082300511178,1146063460856651,1327984505506684,1374783044144677,704441309935549,1072643788972535,633533892535299,204709073971386,463502875131257,604683552487530,436386638678393,459098330245683,463502875131257,403138141313708,339290433684901,760876544475998,539815023828655,474124963394094,506654958079180,355547339002933,524391737433550,298247363632455,1248384765712465,444325943647496,55599995399635,19652621386842,561057438033347,32933479940687,5139056959455,19272611895163,191890789214218,565932122881539,20925505778224,0,0,0,0,0,363193518336329,1305073159808850,0,0,0,0,0,0,0,201257490173482,269435654964078,0
0,1337029616978782,683082300511178,1146063460856651,1327984505506684,1374783044144677,704441309935549,1072643788972535,633533892535299,204709073971386,463502875131257,604683552487530,436386638678393,459098330245683,463502875131257,403138141313708,339290433684901,760876544475998,539815023828655,474124963394094,506654958079180,355547339002933,524391737433550,298247363632455,1248384765712465,444325943647496,55599995399635,19652621386842,561057438033347,32933479940687,5139056959455,19272611895163,191890789214218,565932122881539,20925505778224,0,0,0,0,0,363193518336329,1305073159808850,0,0,0,0,0,0,0,201257490173482,269435654964078,0
0,1337029616978782,683082300511178,1146063460856651,1327984505506684,1374783044144677,704441309935549,1072643788972535,633533892535299,204709073971386,463502875131257,604683552487530,436386638678393,459098330245683,463502875131257,403138141313708,339290433684901,760876544475998,539815023828655,474124963394094,506654958079180,355547339002933,524391737433550,298247363632455,1248384765712465,444325943647496,55599995399635,19652621386842,561057438033347,32933479940687,5139056959455,19272611895163,191890789214218,565932122881539,20925505778224,0,0,0,0,0,363193518336329,1305073159808850,0,0,0,0,0,0,0,201257490173482,269435654964078,0
0,1337029616978782,683082300511178,1146063460856651,1327984505506684,1374783044144677,704441309935549,1072643788972535,633533892535299,204709073971386,463502875131257,604683552487530,436386638678393,459098330245683,463502875131257,403138141313708,339290433684901,760876544475998,539815023828655,474124963394094,506654958079180,355547339002933,524391737433550,298247363632455,1248384765712465,444325943647496,55599995399635,19652621386842,561057438033347,32933479940687,5139056959455,19272611895163,191890789214218,565932122881539,20925505778224,0,0,0,0,0,363193518336329,1305073159808850,0,0,0,0,0,0,0,201257490173482,269435654964078,0
0,1337029616978782,683082300511178,1146063460856651,1327984505506684,1374783044144677,704441309935549,1072643788972535,633533892535299,204709073971386,463502875131257,604683552487530,436386638678393,459098330245683,463502875131257,403138141313708,339290433684901,760876544475998,539815023828655,474124963394094,506654958079180,355547339002933,524391737433550,298247363632455,1248384765712465,444325943647496,55599995399635,19652621386842,561057438033347,32933479940687,5139056959455,19272611895163,191890789214218,565932122881539,20925505778224,0,0,0,0,0,363193518336329,1305073159808850,0,0,0,0,0,0,0,201257490173482,269435654964078,0
0,0,0,0,0,0,704441309935549,1052347972443565,0,0,0,0,0,0,0,403138141313708,339290433684901,0,431852019062924,0,197032483697459,770352567839690,431852019062924,363193518336329,990810896811250,0,0,2251799813685247,0,2186528004541481,2251799813685247,2251799813685247,191890789214218,291888924891176,0,0,0,0,0,0,363193518336329,1305073159808850,0,0,0,0,0,0,0,201257490173482,269435654964078,0
0,1575784905724994,171301811778904,1199785185584306,1847630616357126,1588111447546438,581164080696828,1062296598491264,192814662945525,358240879449925,451844442694038,621307800596553,448415145372629,438454643692546,440721919818767,523028458573801,1125464603712680,778674663053350,669811294873106,532741097459021,591097451092377,355547339002933,555238310223759,305909808685993,1206743390684232,557130326075554,333599972397814,10457702430979,554318601304881,25898648231538,1751951236178,5072060778260,208461833081667,740225954258256,15336152799761,1185157796676446,366553003123521,1058538373954603,1327984505506684,1173306218709681,250513479672314,1510501476577043,429028657867838,273867544907665,422230394156910,576992921499741,442308369361559,408792248707088,420755484916384,371157934686973,948852820377066,728584388736553
0,1575784905724994,171301811778904,1199785185584306,1847630616357126,1588111447546438,581164080696828,1062296598491264,192814662945525,358240879449925,451844442694038,621307800596553,448415145372629,438454643692546,440721919818767,523028458573801,1125464603712680,778674663053350,669811294873106,532741097459021,591097451092377,355547339002933,555238310223759,305909808685993,1206743390684232,557130326075554,333599972397814,10457702430979,554318601304881,25898648231538,1751951236178,5072060778260,208461833081667,740225954258256,15336152799761,1185157796676446,366553003123521,1058538373954603,1327984505506684,1173306218709681,250513479672314,1510501476577043,429028657867838,273867544907665,422230394156910,576992921499741,442308369361559,408792248707088,420755484916384,371157934686973,948852820377066,728584388736553
0,1575784905724994,171301811778904,1199785185584306,1847630616357126,1588111447546438,581164080696828,1062296598491264,192814662945525,358240879449925,451844442694038,621307800596553,448415145372629,438454643692546,440721919818767,523028458573801,1125464603712680,778674663053350,669811294873106,532741097459021,591097451092377,355547339002933,555238310223759,305909808685993,1206743390684232,557130326075554,333599972397814,10457702430979,554318601304881,25898648231538,1751951236178,5072060778260,208461833081667,740225954258256,15336152799761,1185157796676446,366553003123521,1058538373954603,1327984505506684,1173306218709681,250513479672314,1510501476577043,429028657867838,273867544907665,422230394156910,576992921499741,442308369361559,408792248707088,420755484916384,371157934686973,948852820377066,728584388736553
