Device_ID,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
0,0,0,0,0,0,20480,27440,0,0,0,0,0,0,0,11458,9539,0,4605,10137,8340,10347,0,9060,42212,12743,6950,379,17379,1587,63,159,19486,37616,768,40609,12481,36181,38649,38649,9060,41461,15848,10743,12257,17118,12887,11999,12086,22131,39963,21369
0,44530,2762,36181,44530,44530,20480,27440,3640,4795,13037,0,11884,13037,13037,11458,9539,21809,9211,11705,8340,10347,14115,10570,25656,12743,992,207,16981,320,78,207,7713,8477,299,0,0,0,0,0,10570,29797,0,0,0,0,0,0,0,8760,9853,0
0,44530,2762,36181,44530,44530,20480,27440,3640,4795,13037,0,11884,13037,13037,11458,9539,21809,9211,11705,8340,10347,14115,10570,25656,12743,992,207,16981,320,78,207,7713,8477,299,0,0,0,0,0,10570,29797,0,0,0,0,0,0,0,8760,9853,0
0,44530,2762,36181,44530,44530,20480,27440,3640,4795,13037,0,11884,13037,13037,11458,9539,21809,9211,11705,8340,10347,14115,10570,25656,12743,992,207,16981,320,78,207,7713,8477,299,0,0,0,0,0,10570,29797,0,0,0,0,0,0,0,8760,9853,0
0,44530,2762,36181,44530,44530,20480,27440,3640,4795,13037,0,11884,13037,13037,11458,9539,21809,9211,11705,8340,10347,14115,10570,25656,12743,992,207,16981,320,78,207,7713,8477,299,0,0,0,0,0,10570,29797,0,0,0,0,0,0,0,8760,9853,0
0,44530,2762,36181,44530,44530,20480,27440,3640,4795,13037,0,11884,13037,13037,11458,9539,21809,9211,11705,8340,10347,14115,10570,25656,12743,992,207,16981,320,78,207,7713,8477,299,0,0,0,0,0,10570,29797,0,0,0,0,0,0,0,8760,9853,0
0,53773,12912,45738,48731,53773,32768,23828,12379,9590,14133,18842,14451,13186,13747,19548,34847,23257,17533,20141,25022,10347,14115,11262,40442,22138,14894,912,19172,8030,34,207,29081,45615,2498,42920,12342,37546,38649,42850,10592,32745,13867,13966,13010,19343,18315,11977,12237,25639,42838,23071
0,53773,12912,45738,48731,53773,32768,23828,12379,9590,14133,18842,14451,13186,13747,19548,34847,23257,20068,25117,38130,10347,16131,14366,43314,27761,15887,862,19106,8030,34,180,30358,46520,2375,44660,25416,53248,38649,42850,29918,52244,21875,15041,12927,19241,18315,11977,12190,27053,43932,22936
0,53773,12912,45738,48731,53773,32768,23828,12379,9590,14133,18842,14451,13186,13747,19548,34847,23257,20068,25117,38130,10347,16131,14366,43314,27761,15887,862,19106,8030,34,180,30358,46520,2375,44660,25416,53248,38649,42850,29918,52244,21875,15041,12927,19241,18315,11977,12190,27053,43932,22936
0,53773,12912,45738,48731,53773,32768,23828,12379,9590,14133,18842,14451,13186,13747,19548,34847,23257,19012,25327,38130,10347,14115,14388,43445,27684,16880,2596,25133,29206,34,207,32346,47956,8227,44230,25165,53248,38649,42850,30230,52312,22107,16115,14777,26098,35773,11977,12237,29101,45582,27953
