Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 26, 2023 18:20:20.374694",0.002399,5,,,0x0002,225,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.421005",,50,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.422974",0.001969,5,,,0x0002,165,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.476395",,50,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.478348",0.001953,5,,,0x0002,192,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.483113",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.484935",0.001822,5,,,0x0002,226,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.498040",,57,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.500247",0.002207,5,,,0x0002,227,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.502763",,57,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.504969",0.002206,5,,,0x0002,227,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.537825",,50,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.539795",0.001970,5,,,0x0002,166,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.543579",,50,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.545531",0.001952,5,,,0x0002,193,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.550306",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:20.552129",0.001823,5,,,0x0002,228,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:21.716246",1.164117,12,0x48f1,0x0000,0x8863,64,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:21.717012",0.000766,5,,,0x0002,64,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:21.755159",0.038147,77,0x711c,0xffff,0x8841,101,0x711c,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:23.032019",1.276860,77,0x4e11,0xffff,0x8841,176,0x4e11,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:23.282176",0.250157,77,0x0000,0xffff,0x8841,167,0x0000,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:26.233138",2.950962,100,0x0112,0xffff,0x8864,235,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:26.777835",0.544697,12,0x48f1,0x0000,0x8863,65,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:26.778602",0.000767,5,,,0x0002,65,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:28.275253",1.496651,74,0xa706,0xffff,0x8841,83,0xa706,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:29.032059",0.756806,74,0x5bb9,0xffff,0x8841,227,0x5bb9,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:29.242915",0.210856,71,0x1e15,0xffff,0x8841,33,0x1e15,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:31.810763",2.567848,12,0x48f1,0x0000,0x8863,66,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:31.811530",0.000767,5,,,0x0002,66,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:33.361088",1.549558,74,0x3d95,0xffff,0x8841,229,0x3d95,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:33.442168",0.081080,77,0x1cd8,0xffff,0x8841,141,0x1cd8,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:34.868782",1.426614,77,0xec7f,0xffff,0x8841,194,0xec7f,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:35.230112",0.361330,77,0xe1a6,0xffff,0x8841,67,0xe1a6,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:36.811244",1.581132,12,0x48f1,0x0000,0x8863,67,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:36.812010",0.000766,5,,,0x0002,67,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.387591",0.575581,77,0x711c,0xffff,0x8841,102,0x711c,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:37.858561",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.860566",0.002005,5,,,0x0002,168,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.867677",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.870076",0.002399,5,,,0x0002,68,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.891310",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.893343",0.002033,5,,,0x0002,169,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.894894",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.896910",0.002016,5,,,0x0002,195,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.903990",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.908949",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.911348",0.002399,5,,,0x0002,230,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.913899",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.916298",0.002399,5,,,0x0002,230,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.917364",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.919155",0.001791,5,,,0x0002,170,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.938725",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.940805",0.002080,5,,,0x0002,171,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.947987",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.950482",0.002495,5,,,0x0002,69,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.951925",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.953734",0.001809,5,,,0x0002,172,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.957503",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.959296",0.001793,5,,,0x0002,196,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.973284",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.975381",0.002097,5,,,0x0002,173,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.977327",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.979408",0.002081,5,,,0x0002,197,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.986594",0.007186,18,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.991457",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.996858",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:37.999353",0.002495,5,,,0x0002,231,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.000912",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.002990",0.002078,5,,,0x0002,103,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.010954",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.013412",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.015204",0.001792,5,,,0x0002,175,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.016081",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.018576",0.002495,5,,,0x0002,84,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.024702",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.026749",0.002047,5,,,0x0002,176,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.029076",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.031093",0.002017,5,,,0x0002,104,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.038347",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.040746",0.002399,5,,,0x0002,85,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.047580",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.049389",0.001809,5,,,0x0002,177,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.052203",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.053996",0.001793,5,,,0x0002,198,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.058126",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.059950",0.001824,5,,,0x0002,178,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.062626",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.064419",0.001793,5,,,0x0002,105,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.066748",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.068571",0.001823,5,,,0x0002,179,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.072852",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.074646",0.001794,5,,,0x0002,106,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:38.147228",0.072582,71,0x4e11,0xffff,0x8841,177,0x4e11,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:39.364801",1.217573,77,0x0000,0xffff,0x8841,180,0x0000,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:41.235364",1.870563,78,,,0xb84e,236,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:41.873302",0.637938,12,0x48f1,0x0000,0x8863,68,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:41.874069",0.000767,5,,,0x0002,68,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:43.281030",1.406961,74,0xa706,0xffff,0x8841,86,0xa706,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:44.257070",0.976040,71,0x1e15,0xffff,0x8841,34,0x1e15,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:45.959017",1.701947,74,0x5bb9,0xffff,0x8841,228,0x5bb9,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:46.936601",0.977584,12,0x48f1,0x0000,0x8863,69,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:46.937367",0.000766,5,,,0x0002,69,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:48.393564",1.456197,74,0x3d95,0xffff,0x8841,232,0x3d95,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:48.728001",0.334437,77,0x1cd8,0xffff,0x8841,142,0x1cd8,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:50.189336",1.461335,77,0xe1a6,0xffff,0x8841,70,0xe1a6,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:51.727004",1.537668,77,0xec7f,0xffff,0x8841,199,0xec7f,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:51.935481",0.208477,12,0x48f1,0x0000,0x8863,70,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:51.936248",0.000767,5,,,0x0002,70,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:53.739581",1.803333,77,0x711c,0xffff,0x8841,107,0x711c,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:55.255976",1.516395,71,0x4e11,0xffff,0x8841,178,0x4e11,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:56.236635",0.980659,74,0x0112,0xffff,0x8841,237,0x0112,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:56.997921",0.761286,12,0x48f1,0x0000,0x8863,71,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:56.998688",0.000767,5,,,0x0002,71,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:57.282444",0.283756,77,0x0000,0xffff,0x8841,181,0x0000,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:58.238985",0.956541,107,0xa706,0xffff,0x886b,87,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:59.197359",0.958374,71,0x1e15,0xffff,0x8841,35,0x1e15,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:21:02.030989",2.833630,12,0x48f1,0x0000,0x8863,72,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:02.031756",0.000767,5,,,0x0002,72,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:02.925387",0.893631,74,0x5bb9,0xffff,0x8841,229,0x5bb9,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:21:03.350177",0.424790,77,0x1cd8,0xffff,0x8841,143,0x1cd8,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:21:03.438843",0.088666,74,0x3d95,0xffff,0x8841,233,0x3d95,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:21:05.135282",1.696439,77,0xe1a6,0xffff,0x8841,71,0xe1a6,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:21:07.028020",1.892738,77,0xec7f,0xffff,0x8841,200,0xec7f,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:21:07.061792",0.033772,12,0x48f1,0x0000,0x8863,73,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.062558",0.000766,5,,,0x0002,73,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.860361",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.862378",0.002017,5,,,0x0002,182,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.869675",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.872074",0.002399,5,,,0x0002,72,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.894652",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.896686",0.002034,5,,,0x0002,183,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.904331",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.906350",0.002019,5,,,0x0002,201,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.907516",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.909308",0.001792,5,,,0x0002,184,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.913591",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.915990",0.002399,5,,,0x0002,234,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.918500",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.920899",0.002399,5,,,0x0002,234,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.931392",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.933471",0.002079,5,,,0x0002,185,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.940769",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.943264",0.002495,5,,,0x0002,73,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.949430",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.951528",0.002098,5,,,0x0002,186,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.955360",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.957441",0.002081,5,,,0x0002,202,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.964568",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.967063",0.002495,5,,,0x0002,235,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.969686",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.972181",0.002495,5,,,0x0002,235,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.982911",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.984720",0.001809,5,,,0x0002,187,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.986228",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.988022",0.001794,5,,,0x0002,203,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.990642",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.992753",0.002111,5,,,0x0002,188,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.995553",,54,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:07.997632",0.002079,5,,,0x0002,108,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.001618",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.003409",0.001791,5,,,0x0002,189,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.005052",,66,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.007547",0.002495,5,,,0x0002,88,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.011275",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.013323",0.002048,5,,,0x0002,190,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.017412",,52,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.019430",0.002018,5,,,0x0002,109,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.027145",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.030007",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.031816",0.001809,5,,,0x0002,191,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.032262",,63,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:21:08.034661",0.002399,5,,,0x0002,89,,,,,,idle2.pcapng
