Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:10.386835,45,0x711c,0xb1bf,109.0,0x0000,0xb1bf,0.001918
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:10.388626,5,0xb1bf,0x711c,109.0,,,0.001791
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:11.201029,71,0xb1bf,0xffff,207.0,,,0.812403
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-11-28 17:26:12.748396,71,0x0000,0xffff,86.0,0x0000,0xfffc,1.547367
Philips Lamp 3,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:16.199366,71,0x711c,0xffff,110.0,,,3.45097
Power Plug 1,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:16.409262,71,0x3d95,0xffff,186.0,,,0.209896
Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-11-28 17:26:18.839222,57,0x27d7,0x0000,210.0,0x27d7,0x0000,2.42996
Coordinator,Coordinator,Aqara Motion,Motion,Unknown,Unknown,,,2023-11-28 17:26:18.841429,5,0x0000,0x27d7,210.0,,,0.002207
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:20.351748,59,0x4308,0xffff,6.0,,,1.510319
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:21.209948,71,0x4e11,0xffff,55.0,,,0.8582
Ledvance Bulb,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:22.588519,71,0xec7f,0xffff,57.0,,,1.378571
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-11-28 17:26:22.997961,71,0xe1a6,0xffff,35.0,0xe1a6,0xfffc,0.409442
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-11-28 17:26:24.321570,71,0x0112,0xffff,74.0,0x0112,0xfffc,1.323609
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,2023-11-28 17:26:25.136172,65,0x1e15,0xffff,245.0,0x1e15,0xfffc,0.814602
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,2023-11-28 17:26:26.125525,71,0xb1bf,0xffff,208.0,0xb1bf,0xfffc,0.989353
Sonoff Motion 2,Motion,Coordinator,Coordinator,Sonoff Motion 2,Motion,Coordinator,Coordinator,2023-11-28 17:26:28.385712,54,0x1f29,0x0000,93.0,0x1f29,0x0000,2.260187
Coordinator,Coordinator,Sonoff Motion 2,Motion,Unknown,Unknown,,,2023-11-28 17:26:28.387823,5,0x0000,0x1f29,93.0,,,0.002111
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:28.697854,108,0x3308,0xffff,41.0,,,0.310031
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:29.348445,59,0x4308,0xf3ff,11.0,,,0.650591
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:30.375362,71,0x0000,0xffff,87.0,,,1.026917
Power Plug 1,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:31.456971,71,0x3d95,0xffff,187.0,,,1.081609
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,2023-11-28 17:26:31.698769,59,0x4308,0xffff,13.0,0x4308,0xfffc,0.241798
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:32.026622,59,0x4308,0xffff,14.0,,,0.327853
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:32.345489,59,0x4318,0xffff,15.0,,,0.318867
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:32.664354,59,0x4308,0xffff,16.0,,,0.318865
Philips Lamp 3,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:33.735175,71,0x711c,0xffff,111.0,,,1.070821
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-11-28 17:26:36.715551,71,0x4e11,0xffff,56.0,0x4e11,0xfffc,2.980376
Smart Socket,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:37.970994,71,0xe1a6,0xffff,36.0,,,1.255443
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:26:39.114478,60,0x3d95,0x0000,188.0,0x3d95,0x0000,1.143484
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-11-28 17:26:39.116781,5,0x0000,0x3d95,188.0,,,0.002303
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:39.158169,50,0x0000,0xec7f,88.0,,,0.041388
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:39.160138,5,0xec7f,0x0000,88.0,,,0.001969
Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-11-28 17:26:39.163293,50,0xec7f,0x3d95,58.0,0x0000,0x3d95,0.003155
Power Plug 1,Socket,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:39.165245,5,0x3d95,0xec7f,58.0,,,0.001952
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:26:39.170387,45,0x3d95,0x0000,189.0,0x3d95,0x0000,0.005142
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-11-28 17:26:39.172210,5,0x0000,0x3d95,189.0,,,0.001823
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:39.314185,71,0x0112,0xffff,75.0,,,0.141975
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-11-28 17:26:39.533307,71,0xec7f,0xffff,59.0,0xec7f,0xfffc,0.219122
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-11-28 17:26:40.158103,52,0x0000,0xe1a6,89.0,,,0.624796
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.160109,5,0xe1a6,0x0000,89.0,,,0.002006
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.167894,63,0xe1a6,0x0000,37.0,,,0.007785
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-11-28 17:26:40.170293,5,0x0000,0xe1a6,37.0,,,0.002399
Moes Bulb,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:40.174881,65,0x1e15,0xffff,246.0,,,0.004588
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.197011,52,0x0000,0xec7f,90.0,,,0.02213
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.199044,5,0xec7f,0x0000,90.0,,,0.002033
Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-11-28 17:26:40.202184,52,0xec7f,0x3d95,60.0,0x0000,0x3d95,0.00314
Power Plug 1,Socket,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.204202,5,0x3d95,0xec7f,60.0,,,0.002018
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-11-28 17:26:40.212042,63,0x3d95,0x0000,190.0,0x3d95,0x0000,0.00784
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-11-28 17:26:40.214441,5,0x0000,0x3d95,190.0,,,0.002399
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-11-28 17:26:40.215541,45,0x0000,0xe1a6,91.0,0x0000,0xe1a6,0.0011
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.217322,5,0xe1a6,0x0000,91.0,,,0.001781
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-11-28 17:26:40.236374,54,0x0000,0xe1a6,92.0,0x0000,0xe1a6,0.019052
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.238455,5,0xe1a6,0x0000,92.0,,,0.002081
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.246335,66,0xe1a6,0x0000,38.0,,,0.00788
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-11-28 17:26:40.248830,5,0x0000,0xe1a6,38.0,,,0.002495
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.250160,54,0x0000,0xec7f,93.0,,,0.00133
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.252257,5,0xec7f,0x0000,93.0,,,0.002097
Ledvance Bulb,Bulb,Power Plug 1,Socket,Unknown,Unknown,,,2023-11-28 17:26:40.255486,54,0xec7f,0x3d95,61.0,,,0.003229
Power Plug 1,Socket,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.257567,5,0x3d95,0xec7f,61.0,,,0.002081
Power Plug 1,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.275407,66,0x3d95,0x0000,191.0,,,0.01784
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-11-28 17:26:40.277902,5,0x0000,0x3d95,191.0,,,0.002495
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-11-28 17:26:40.278697,45,0x0000,0xec7f,94.0,0x0000,0x3d95,0.000795
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.280507,5,0xec7f,0x0000,94.0,,,0.00181
Ledvance Bulb,Bulb,Power Plug 1,Socket,Unknown,Unknown,,,2023-11-28 17:26:40.282041,45,0xec7f,0x3d95,62.0,,,0.001534
Power Plug 1,Socket,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.283833,5,0x3d95,0xec7f,62.0,,,0.001792
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:40.293878,54,0x0000,0x711c,95.0,0x0000,0xb1bf,0.010045
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:40.299197,54,0x0000,0x711c,95.0,0x0000,0xb1bf,0.005319
Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.301308,5,0x711c,0x0000,95.0,,,0.002111
Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:40.304137,54,0x711c,0xb1bf,112.0,0x0000,0xb1bf,0.002829
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.306217,5,0xb1bf,0x711c,112.0,,,0.00208
Coordinator,Coordinator,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.312342,52,0x0000,0x711c,96.0,,,0.006125
Coordinator,Coordinator,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.316413,52,0x0000,0x711c,96.0,,,0.004071
Philips Lamp 3,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:40.322499,52,0x711c,0xb1bf,113.0,,,0.006086
Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:40.326291,52,0x711c,0xb1bf,113.0,0x0000,0xb1bf,0.003792
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,2023-11-28 17:26:40.328516,66,0xb1bf,0x0000,209.0,0xb1bf,0x0000,0.002225
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:40.331011,5,0x0000,0xb1bf,209.0,,,0.002495
Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:40.332056,52,0x711c,0xb1bf,113.0,0x0000,0xb1bf,0.001045
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.334072,5,0xb1bf,0x711c,113.0,,,0.002016
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-11-28 17:26:40.335632,45,0x0000,0xe1a6,97.0,0x0000,0xe1a6,0.00156
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.337413,5,0xe1a6,0x0000,97.0,,,0.001781
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,2023-11-28 17:26:40.341331,63,0xb1bf,0x0000,210.0,0xb1bf,0x0000,0.003918
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:40.343730,5,0x0000,0xb1bf,210.0,,,0.002399
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.358243,45,0x0000,0xec7f,98.0,,,0.014513
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.360053,5,0xec7f,0x0000,98.0,,,0.00181
Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-11-28 17:26:40.363200,45,0xec7f,0x3d95,63.0,0x0000,0x3d95,0.003147
Power Plug 1,Socket,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.364983,5,0x3d95,0xec7f,63.0,,,0.001783
Coordinator,Coordinator,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.368367,45,0x0000,0x711c,99.0,,,0.003384
Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.370190,5,0x711c,0x0000,99.0,,,0.001823
Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:40.373881,45,0x711c,0xb1bf,114.0,0x0000,0xb1bf,0.003691
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:40.375675,5,,,117.0,,,0.001794
Coordinator,Coordinator,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.381426,45,0x0000,0x711c,100.0,,,0.005751
Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:40.383250,5,0x711c,0x0000,100.0,,,0.001824
Philips Lamp 3,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:40.385599,45,0x711c,0xb1bf,115.0,,,0.002349
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,,,2023-11-28 17:26:40.387392,5,0xb1bf,0x711c,115.0,,,0.001793
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:40.697447,59,0x4308,0xffff,17.0,,,0.310055
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,2023-11-28 17:26:41.020548,59,0x4308,0xffff,18.0,0x4308,0xfffc,0.323101
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:41.097923,47,0x4308,0xffff,19.0,,,0.077375
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:41.240381,71,0xb1bf,0xffff,211.0,,,0.142458
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:41.341296,59,0x4308,0xffff,20.0,,,0.100915
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:41.660856,59,0x1209,0xffff,21.0,,,0.31956
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:43.699604,59,0x4308,0xffff,22.0,,,2.038748
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,2023-11-28 17:26:44.020363,59,0x4308,0xffff,23.0,0x4308,0xfffc,0.320759
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:44.658738,59,0x4308,0xffff,25.0,,,0.638375
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:45.093479,47,0xa462,0x0000,236.0,,,0.434741
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,,,2023-11-28 17:26:45.096746,47,0xa462,0x0000,236.0,,,0.003267
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:45.098633,5,0x0000,0xa462,236.0,,,0.001887
Power Plug 1,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:46.435148,71,0x3d95,0xffff,192.0,,,1.336515
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:46.683253,71,0x0000,0xffff,101.0,,,0.248105
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:46.949223,10,,0xffff,123.0,,,0.26597
Ledvance Smart+ Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:46.951003,28,0x0112,,65.0,,,0.00178
Ledvance Z3 Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:46.959718,28,0x4e11,,146.0,,,0.008715
Smart Socket,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:46.966191,28,0xe1a6,,39.0,,,0.006473
Moes Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:46.982852,28,0x1e15,,247.0,,,0.016661
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.011050,28,0x3d95,,193.0,,,0.028198
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.023913,28,0xb1bf,,212.0,,,0.012863
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.030176,28,0x0000,,102.0,,,0.006263
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-11-28 17:26:47.418051,10,,0xffff,124.0,,,0.387875
Ledvance Smart+ Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.428791,28,0x0112,,66.0,,,0.01074
Ledvance Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.433469,28,0xec7f,,9.0,,,0.004678
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.435807,28,0x0000,,103.0,,,0.002338
Philips Lamp 3,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.438981,28,0x711c,,117.0,,,0.003174
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.441814,28,0x3d95,,194.0,,,0.002833
Ledvance Z3 Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.468064,28,0x4e11,,147.0,,,0.02625
Smart Socket,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.475626,28,0xe1a6,,40.0,,,0.007562
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.495670,28,0xb1bf,,213.0,,,0.020044
Moes Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-11-28 17:26:47.543781,28,0x1e15,,248.0,,,0.048111
Philips Lamp 3,Bulb,Broadcast,Broadcast,Philips Lamp 3,Bulb,Broadcast,Broadcast,2023-11-28 17:26:49.236709,71,0x711c,0xffff,118.0,0x711c,0xfffc,1.692928
Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:50.690349,67,0x0000,0xa462,104.0,0x0000,0xa462,1.45364
Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:50.696317,67,0x0000,0xa462,104.0,0x0000,0xa462,0.005968
Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:50.701259,67,0x0000,0xa462,104.0,0x0000,0xa462,0.004942
Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,2023-11-28 17:26:50.705501,67,0x0000,0xa462,104.0,0x0000,0xa462,0.004242
