Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:45.927322000",0.01922,51,0x0112,0xffff,46.0,0x0000,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:45.932223000",0.004901,51,0xec7f,0xffff,35.0,0x0000,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:45.941019000",0.008796,51,0x3d95,0xffff,100.0,0x0000,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:45.990763000",0.049744,51,0x1cd8,0xffff,249.0,0x0000,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,"Nov 28, 2023 16:33:45.994393000",0.00363,74,0x3d95,0xffff,101.0,0x3d95,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.011069000",0.016676,51,0x4e11,0xffff,45.0,0x0000,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.037090000",0.026021,51,0xe1a6,0xffff,179.0,0x0000,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.057658000",0.020568,51,0x1e15,0xffff,57.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.096616000",0.038958,51,0xb1bf,0xffff,62.0,0x0000,0xfffc
Philips Lamp 3,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.183606000",0.08699,51,0x711c,0xffff,228.0,0x0000,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:33:46.194729000",0.011123,51,0x0112,0xffff,47.0,,
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.220002000",0.025273,51,0x0000,0xffff,90.0,0x0000,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.225897000",0.005895,51,0xec7f,0xffff,36.0,0x0000,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.241802000",0.015905,51,0x0112,0xffff,48.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.256559000",0.014757,59,0x4308,0xffff,213.0,0x4308,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.291113000",0.034554,51,0xe1a6,0xffff,180.0,0x0000,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.311747000",0.020634,51,0x1e15,0xffff,58.0,0x0000,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.346033000",0.034286,51,0x1cd8,0xffff,250.0,0x0000,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.350261000",0.004228,51,0x4e11,0xffff,46.0,0x0000,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.449534000",0.099273,51,0x3d95,0xffff,103.0,0x0000,0xfffc
Philips Lamp 3,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.512028000",0.062494,51,0x711c,0xffff,229.0,0x0000,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.545215000",0.033187,51,0xe1a6,0xffff,181.0,0x0000,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.560050000",0.014835,51,0x0000,0xffff,91.0,0x0000,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.565854000",0.005804,51,0x1e15,0xffff,59.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:33:46.582153000",0.016299,59,0x4308,0xffff,214.0,,
Ledvance Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.587729000",0.005576,51,0xec7f,0xffff,37.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.605474000",0.017745,51,0xb1bf,0xffff,64.0,0x0000,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.610077000",0.004603,51,0x4e11,0xffff,47.0,0x0000,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.620396000",0.010319,51,0x1cd8,0xffff,251.0,0x0000,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:46.937600000",0.317204,51,0x0000,0xffff,92.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:33:47.221916000",0.284316,59,0x4308,0xffff,216.0,0x4308,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:33:51.130795000",3.908879,47,0x4308,0xffff,217.0,0x4308,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.731713000",1.600918,74,0xe1a6,0xffff,182.0,0xe1a6,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.750072000",0.018359,51,0x0000,0xffff,93.0,0x0000,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.760163000",0.010091,51,0x0112,0xffff,49.0,0x0000,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.772122000",0.011959,51,0xec7f,0xffff,38.0,0x0000,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.797282000",0.02516,51,0x1cd8,0xffff,252.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.799825000",0.002543,51,0xb1bf,0xffff,65.0,0x0000,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.812868000",0.013043,51,0x0112,0xffff,50.0,0x0000,0xfffc
Philips Lamp 3,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.823601000",0.010733,51,0x711c,0xffff,230.0,0x0000,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.855594000",0.031993,51,0x4e11,0xffff,48.0,0x0000,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.896247000",0.040653,51,0xe1a6,0xffff,183.0,0x0000,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:52.905751000",0.009504,51,0x3d95,0xffff,104.0,0x0000,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.031726000",0.125975,51,0x1e15,0xffff,60.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.053835000",0.022109,51,0xb1bf,0xffff,66.0,0x0000,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.068818000",0.014983,51,0x0112,0xffff,51.0,0x0000,0xfffc
Ledvance Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.087076000",0.018258,51,0xec7f,0xffff,39.0,0x0000,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.102162000",0.015086,51,0x0000,0xffff,94.0,0x0000,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.104397000",0.002235,51,0x1cd8,0xffff,253.0,0x0000,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.128931000",0.024534,51,0x4e11,0xffff,49.0,0x0000,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.150462000",0.021531,51,0xe1a6,0xffff,184.0,0x0000,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.159791000",0.009329,51,0x3d95,0xffff,105.0,0x0000,0xfffc
Philips Lamp 3,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.162986000",0.003195,51,0x711c,0xffff,231.0,0x0000,0xfffc
Moes Bulb,Bulb,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.285868000",0.122882,51,0x1e15,0xffff,61.0,0x0000,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.307983000",0.022115,51,0xb1bf,0xffff,67.0,0x0000,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.404574000",0.096591,51,0xe1a6,0xffff,185.0,0x0000,0xfffc
Power Plug 1,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:33:53.413867000",0.009293,51,0x3d95,0xffff,106.0,0x0000,0xfffc
