Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Unknown,Unknown,"Oct 13, 2023 18:01:17.491580",0.001793,5,,,0x0002,24.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:17.494515",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.496339",0.001824,5,,,0x0002,230.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Bulb,"Oct 13, 2023 18:01:17.501908",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.503924",0.002016,5,,,0x0002,142.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:17.506284",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.508107",0.001823,5,,,0x0002,231.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Bulb,"Oct 13, 2023 18:01:17.509520",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.511301",0.001781,5,,,0x0002,143.0,,,,,,physicalInteraction1.pcapng
Power Plug 2,Socket,"Oct 13, 2023 18:01:17.512249",0.000948,63,0xc8f0,0x0000,0x8861,86.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.514648",0.002399,5,,,0x0002,86.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Bulb,"Oct 13, 2023 18:01:17.518017",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.519811",0.001794,5,,,0x0002,144.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:17.529151",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.530974",0.001823,5,,,0x0002,232.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Bulb,"Oct 13, 2023 18:01:17.534417",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:17.536197",0.00178,5,,,0x0002,145.0,,,,,,physicalInteraction1.pcapng
Sonoff Door 1,Door,"Oct 13, 2023 18:01:18.302952",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:18.305050",0.002098,5,,,0x0002,153.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:18.308431",0.003381,57,0x054f,0x0000,0x8861,136.0,0x3181,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:18.310638",0.002207,5,,,0x0002,136.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:18.355552",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:18.357663",0.002111,5,,,0x0002,137.0,,,,,,physicalInteraction1.pcapng
Sonoff Door 1,Door,"Oct 13, 2023 18:01:18.809106",0.451443,12,0x3181,0x054f,0x8863,154.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:18.809859",0.000753,5,,,0x0002,154.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:18.818992",0.009133,74,0x054f,0xffff,0x8841,138.0,0x054f,0xfffc,0x1209,,,physicalInteraction1.pcapng
Philips Motion,Bulb,"Oct 13, 2023 18:01:21.335738",2.516746,74,0xe5c4,0xffff,0x8841,146.0,0xe5c4,0xfffc,0x1209,,,physicalInteraction1.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 18:01:21.484407",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:21.486454",0.002047,5,,,0x0002,200.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:21.500677",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:21.502463",0.001786,5,,,0x0002,233.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 18:01:21.972994",0.470531,12,0x2cae,0x054f,0x8863,89.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:21.973748",0.000754,5,,,0x0002,89.0,,,,,,physicalInteraction1.pcapng
Sonoff Door 1,Door,"Oct 13, 2023 18:01:22.638581",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:22.640678",0.002097,5,,,0x0002,155.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:22.643383",0.002705,57,0x054f,0x0000,0x8861,139.0,0x3181,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:22.645589",0.002206,5,,,0x0002,139.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:22.690504",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:22.692615",0.002111,5,,,0x0002,140.0,,,,,,physicalInteraction1.pcapng
Sonoff Door 1,Door,"Oct 13, 2023 18:01:23.144609",0.451994,12,0x3181,0x054f,0x8863,156.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:23.145362",0.000753,5,,,0x0002,156.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:23.824414",0.679052,74,0x0000,0xffff,0x8841,234.0,0x0000,0xfffc,0x1209,,,physicalInteraction1.pcapng
Ledvance Z3 Plug,Socket,"Oct 13, 2023 18:01:24.752401",0.927987,71,0x09ac,0xffff,0x8841,2.0,0x09ac,0xfffc,0x1209,,,physicalInteraction1.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 18:01:25.485543",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:25.487589",0.002046,5,,,0x0002,201.0,,,,,,physicalInteraction1.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 18:01:25.488509",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:25.490555",0.002046,5,,,0x0002,202.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:25.509652",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:25.511439",0.001787,5,,,0x0002,235.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:25.516602",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:25.518389",0.001787,5,,,0x0002,236.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:01:26.290171",0.771782,74,0x482d,0xffff,0x8841,25.0,0x482d,0xfffc,0x1209,,,physicalInteraction1.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 18:01:26.935276",0.645105,12,0x2cae,0x054f,0x8863,90.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:26.936030",0.000754,5,,,0x0002,90.0,,,,,,physicalInteraction1.pcapng
Sonoff Motion 2,Motion,"Oct 13, 2023 18:01:27.128683",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:27.130780",0.002097,5,,,0x0002,34.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:27.134747",0.003967,57,0x054f,0x0000,0x8861,141.0,0x4e52,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:27.136954",0.002207,5,,,0x0002,141.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:27.180256",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:27.182367",0.002111,5,,,0x0002,142.0,,,,,,physicalInteraction1.pcapng
Sonoff Motion 2,Motion,"Oct 13, 2023 18:01:27.635612",0.453245,12,0x4e52,0x054f,0x8863,35.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:27.636366",0.000754,5,,,0x0002,35.0,,,,,,physicalInteraction1.pcapng
Power Plug 1,Socket,"Oct 13, 2023 18:01:27.826760",0.190394,107,0x6e5f,0xffff,0x886b,102.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:28.393114",0.566354,74,0xe694,0xffff,0x8841,95.0,0xe694,0xfffc,0x1209,,,physicalInteraction1.pcapng
Aqara Button,Button,"Oct 13, 2023 18:01:30.012697",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.014746",0.002049,5,,,0x0002,158.0,,,,,,physicalInteraction1.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:01:30.018727",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.020806",0.002079,5,,,0x0002,96.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:30.066813",,48,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.068719",0.001906,5,,,0x0002,237.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.096615",0.027896,55,0x054f,0x0000,0x8861,143.0,0x054f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.098758",0.002143,5,,,0x0002,143.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.108933",0.010175,55,0x054f,0x0000,0x8861,144.0,0x054f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.111076",0.002143,5,,,0x0002,144.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.122434",0.011358,5,,,0x0002,145.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.136833",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.138816",0.001983,5,,,0x0002,146.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.147551",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.149598",0.002047,5,,,0x0002,147.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:30.153940",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.155750",0.00181,5,,,0x0002,238.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:30.163231",,45,,,,,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.170129",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.172176",0.002047,5,,,0x0002,148.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:01:30.175894",0.003718,57,0x482d,0x0000,0x8861,26.0,0x9989,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.178101",0.002207,5,,,0x0002,26.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:30.197974",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.199783",0.001809,5,,,0x0002,240.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:30.209172",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.211141",0.001969,5,,,0x0002,241.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:30.216387",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.218356",0.001969,5,,,0x0002,242.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:01:30.225407",,57,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.227614",0.002207,5,,,0x0002,27.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.233914",0.0063,55,0x054f,0x0000,0x8861,149.0,0x054f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.236056",0.002142,5,,,0x0002,149.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.246906",0.01085,55,0x054f,0x0000,0x8861,150.0,0x054f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.249049",0.002143,5,,,0x0002,150.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.273392",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.275215",0.001823,5,,,0x0002,151.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:30.284088",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:30.285911",0.001823,5,,,0x0002,152.0,,,,,,physicalInteraction1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 13, 2023 18:01:30.648714",0.362803,74,0x82eb,0xffff,0x8841,68.0,0x82eb,0xfffc,0x1209,,,physicalInteraction1.pcapng
Power Plug 2,Socket,"Oct 13, 2023 18:01:31.063177",0.414463,71,0xc8f0,0xffff,0x8841,87.0,0xc8f0,0xfffc,0x1209,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:31.109880",0.046703,55,0x054f,0x0000,0x8861,153.0,0x054f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:31.112023",0.002143,5,,,0x0002,153.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:31.136370",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:31.138417",0.002047,5,,,0x0002,154.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:31.153161",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:31.154970",0.001809,5,,,0x0002,243.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:01:31.190276",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:31.192246",0.00197,5,,,0x0002,244.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:31.245325",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:31.247147",0.001822,5,,,0x0002,156.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:01:31.272537",0.02539,55,0x054f,0x0000,0x8861,157.0,0x054f,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:31.274680",0.002143,5,,,0x0002,157.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 18:01:31.936361",0.661681,12,0x2cae,0x054f,0x8863,91.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 13, 2023 18:01:31.937115",0.000754,5,,,0x0002,91.0,,,,,,physicalInteraction1.pcapng
Aqara Vibration,Vibration,"Oct 13, 2023 18:01:33.427919",,53,,,,,,,,,,physicalInteraction1.pcapng
