Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Power Plug 1,Socket,"Oct 13, 2023 18:18:43.000000",0.0,71,0x6e5f,0xffff,0x8841,12.0,0x6e5f,0xfffc,0x1209,,,physicalInteraction3.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:18:43.448635",0.448635,74,0xe694,0xffff,0x8841,2.0,0xe694,0xfffc,0x1209,,,physicalInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:18:43.586199",0.137564,74,0x482d,0xffff,0x8841,38.0,0x482d,0xfffc,0x1209,,,physicalInteraction3.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 18:18:45.564788",1.978589,107,0x054f,0xffff,0x886b,182.0,,,,,,physicalInteraction3.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 18:18:45.748905",0.184117,68,0xebe5,0xffff,0x8841,211.0,0xebe5,0xfffc,0x1209,,,physicalInteraction3.pcapng
Aqara Door 1,Door,"Oct 13, 2023 18:18:45.789800",,52,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:45.791806",0.002006,5,,,0x0002,222.0,,,,,,physicalInteraction3.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:18:45.795575",,52,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:45.797622",0.002047,5,,,0x0002,3.0,,,,,,physicalInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:18:47.209047",,52,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.211061",0.002014,5,,,0x0002,113.0,,,,,,physicalInteraction3.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:18:47.218746",,63,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.221145",0.002399,5,,,0x0002,4.0,,,,,,physicalInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:18:47.245541",,52,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.247589",0.002048,5,,,0x0002,114.0,,,,,,physicalInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:18:47.251880",,52,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.253897",0.002017,5,,,0x0002,39.0,,,,,,physicalInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:18:47.258561",,45,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.260354",0.001793,5,,,0x0002,115.0,,,,,,physicalInteraction3.pcapng
Power Plug 1,Socket,"Oct 13, 2023 18:18:47.261804",,63,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.264203",0.002399,5,,,0x0002,13.0,,,,,,physicalInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:18:47.282872",,54,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.284942",0.00207,5,,,0x0002,116.0,,,,,,physicalInteraction3.pcapng
Smart Socket,Socket,"Oct 13, 2023 18:18:47.292784",,66,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.295279",0.002495,5,,,0x0002,5.0,,,,,,physicalInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:18:47.296313",,54,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.298424",0.002111,5,,,0x0002,117.0,,,,,,physicalInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:18:47.300928",,54,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.303008",0.00208,5,,,0x0002,40.0,,,,,,physicalInteraction3.pcapng
Power Plug 1,Socket,"Oct 13, 2023 18:18:47.310784",,66,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.313279",0.002495,5,,,0x0002,14.0,,,,,,physicalInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:18:47.332995",,45,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.334819",0.001824,5,,,0x0002,118.0,,,,,,physicalInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:18:47.339382",,45,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.341176",0.001794,5,,,0x0002,41.0,,,,,,physicalInteraction3.pcapng
Coordinator,Coordinator,"Oct 13, 2023 18:18:47.343266",,54,,,,,,,,,,physicalInteraction3.pcapng
Unknown,Unknown,"Oct 13, 2023 18:18:47.345377",0.002111,5,,,0x0002,119.0,,,,,,physicalInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:18:47.349676",0.004299,54,0x482d,0x6e5f,0x8861,42.0,,,,,,physicalInteraction3.pcapng
Philips Lamp 1,Bulb,"Oct 13, 2023 18:18:47.354362",,54,,,,,,,,,,physicalInteraction3.pcapng
