Category,GZIP Ratio (%),BZIP2 Ratio (%),LZMA Ratio (%),PPMD Ratio (%),SNAPPY Ratio (%),BROTLI Ratio (%),LZ4 Ratio (%),LZ4_RAW Ratio (%),ZSTD Ratio (%),LZO Ratio (%)
Idle,36.41483076704164,34.2335877277715,29.726551062682827,32.495204450488856,49.26149905730853,30.693582856970853,43.95146438705899,43.93371880156413,33.8364532909373,46.51847210098429
Physical_Interaction,37.240685633822714,36.09791184255563,31.03988852116356,34.26877946996393,49.19935490393599,32.08101339524437,44.7593862329971,44.73940969325049,34.73381260787636,46.943924391233224
Power,23.673979946275043,26.850558863739405,20.107613925377837,24.418555611657354,32.278261541903944,20.498953265378564,29.789528436388174,28.957734648380345,21.71400304824117,30.044007371073572
Scenario,36.38444307191035,34.61241949416151,29.847245905894887,32.8782711441116,48.766173897086794,30.948816413120827,43.985111734719,43.96821613831563,34.03248653946856,46.58988681069323
Web_Interaction,34.152212888539715,33.09336032714893,28.317486217709824,31.27362798224586,46.71550062784123,29.327362126736634,42.19848512318446,42.175402724898106,31.736451051885872,43.968023743813916
