Category,Number of Files,Total Original Size (KB),Mean Original Size (KB),Median Original Size (KB),Std Original Size (KB),Min Original Size (KB),Max Original Size (KB),Total Delta Time (s),Mean Delta Time (s),Median Delta Time (s),Std Delta Time (s),Min Delta Time (s),Max Delta Time (s),Total GZIP Size (KB),Mean GZIP Size (KB),Median GZIP Size (KB),Std GZIP Size (KB),Min GZIP Size (KB),Max GZIP Size (KB),Total BZIP2 Size (KB),Mean BZIP2 Size (KB),Median BZIP2 Size (KB),Std BZIP2 Size (KB),Min BZIP2 Size (KB),Max BZIP2 Size (KB),Total LZMA Size (KB),Mean LZMA Size (KB),Median LZMA Size (KB),Std LZMA Size (KB),Min LZMA Size (KB),Max LZMA Size (KB),Total PPMD Size (KB),Mean PPMD Size (KB),Median PPMD Size (KB),Std PPMD Size (KB),Min PPMD Size (KB),Max PPMD Size (KB),Total SNAPPY Size (KB),Mean SNAPPY Size (KB),Median SNAPPY Size (KB),Std SNAPPY Size (KB),Min SNAPPY Size (KB),Max SNAPPY Size (KB),Total BROTLI Size (KB),Mean BROTLI Size (KB),Median BROTLI Size (KB),Std BROTLI Size (KB),Min BROTLI Size (KB),Max BROTLI Size (KB),Total LZ4 Size (KB),Mean LZ4 Size (KB),Median LZ4 Size (KB),Std LZ4 Size (KB),Min LZ4 Size (KB),Max LZ4 Size (KB),Total LZ4_RAW Size (KB),Mean LZ4_RAW Size (KB),Median LZ4_RAW Size (KB),Std LZ4_RAW Size (KB),Min LZ4_RAW Size (KB),Max LZ4_RAW Size (KB),Total ZSTD Size (KB),Mean ZSTD Size (KB),Median ZSTD Size (KB),Std ZSTD Size (KB),Min ZSTD Size (KB),Max ZSTD Size (KB),Total LZO Size (KB),Mean LZO Size (KB),Median LZO Size (KB),Std LZO Size (KB),Min LZO Size (KB),Max LZO Size (KB),Total 8-bit Entropy Min Size (KB),Mean 8-bit Entropy Min Size (KB),Median 8-bit Entropy Min Size (KB),Std 8-bit Entropy Min Size (KB),Min 8-bit Entropy Min Size (KB),Max 8-bit Entropy Min Size (KB),Total 16-bit Entropy Min Size (KB),Mean 16-bit Entropy Min Size (KB),Median 16-bit Entropy Min Size (KB),Std 16-bit Entropy Min Size (KB),Min 16-bit Entropy Min Size (KB),Max 16-bit Entropy Min Size (KB),Total 8-bit Conditional Entropy Min Size (KB),Mean 8-bit Conditional Entropy Min Size (KB),Median 8-bit Conditional Entropy Min Size (KB),Std 8-bit Conditional Entropy Min Size (KB),Min 8-bit Conditional Entropy Min Size (KB),Max 8-bit Conditional Entropy Min Size (KB)
Idle,6,7137.55859375,1189.5930989583333,1150.2421875,250.62037931195644,899.93359375,1569.90625,21282.31974506378,3547.0532908439636,3507.651519536972,150.65430672263707,3386.642863035202,3799.7378339767456,2599.1298828125,433.1883138020833,426.314453125,55.03012841269708,359.166015625,516.5185546875,2443.4423828125,407.2403971354167,404.55517578125,48.87276702781632,337.48046875,479.6513671875,2121.75,353.625,351.654296875,38.51086193291973,298.02734375,411.43359375,2319.3642578125,386.5607096354167,382.38623046875,44.996436403598466,323.46484375,455.07421875,3516.068359375,586.0113932291666,571.71142578125,86.536549731855,476.650390625,718.876953125,2190.7724609375,365.1287434895833,363.08544921875,40.04080629499494,307.7431640625,425.4873046875,3137.0615234375,522.8435872395834,511.33056640625,73.76713482292622,427.4111328125,635.9951171875,3135.794921875,522.6324869791666,511.138671875,73.71881629689679,427.25390625,635.7158203125,2415.0966796875,402.51611328125,397.7998046875,48.00204645701824,336.33203125,476.2880859375,3320.283203125,553.3805338541666,541.0791015625,77.07638358327037,453.7373046875,672.1640625,4966.620561735443,827.7700936225738,804.018245947384,155.04107602835379,641.318212569546,1064.524250920756,2483.3102808677213,413.8850468112869,402.009122973692,77.52053801417689,320.659106284773,532.262125460378,3588.475311683932,598.0792186139887,585.8272658140428,95.37703364082418,476.1567627301735,743.2902008417055
Physical_Interaction,10,3206.88671875,320.688671875,210.5546875,201.16745532707435,178.91796875,801.4453125,7825.001420259476,782.5001420259475,210.78819251060486,913.0303432262632,151.66447591781616,2931.033631086349,1194.2666015625,119.42666015625,77.91162109375,79.39309994568426,62.29296875,308.248046875,1157.619140625,115.7619140625,75.93896484375,75.27881899277426,62.859375,295.109375,995.4140625,99.54140625,64.921875,65.9716373523508,52.59765625,256.5,1098.9609375,109.89609375,71.4111328125,72.79287738837645,58.32421875,283.1123046875,1577.767578125,157.7767578125,106.0869140625,102.23862945293037,82.4609375,401.6220703125,1028.8017578125,102.88017578125,67.3408203125,68.16319479032553,54.0400390625,265.041015625,1435.3828125,143.53828125,95.59130859375,93.54265378480747,75.1767578125,365.78515625,1434.7421875,143.47421875,95.544921875,93.50852830653075,75.13671875,365.6357421875,1113.8740234375,111.38740234375,72.95556640625,73.85287220791193,58.5419921875,287.1845703125,1505.4384765625,150.54384765625,100.51953125,98.6735198334929,78.4248046875,386.1357421875,2285.8859314687675,228.58859314687675,147.20348013473324,147.23101964623174,128.15638814322332,580.4786441367162,1142.942965734384,114.2942965734384,73.60174006736662,73.61550982311587,64.07819407161166,290.2393220683581,1604.6329430072997,160.46329430072996,101.44617629590424,108.81755186885556,86.2846595315206,421.986586928232
Power,60,3334.40234375,55.57337239583333,48.396484375,27.48116982281237,14.59375,136.76953125,18490.792838335037,308.17988063891727,305.67378401756287,12.174205199305767,292.1776230335236,364.323548078537,789.3857421875,13.156429036458333,11.83935546875,5.759870897565445,4.357421875,30.6962890625,895.3056640625,14.921761067708333,13.490234375,6.3647907315951215,5.0576171875,33.81640625,670.46875,11.174479166666666,10.1015625,4.826474115902276,3.7890625,25.796875,814.212890625,13.57021484375,12.24560546875,5.842222507189022,4.443359375,31.001953125,1076.287109375,17.938118489583335,15.9560546875,8.066232138426479,5.748046875,42.759765625,683.517578125,11.391959635416667,10.2724609375,4.950353437881747,3.8291015625,26.3349609375,993.302734375,16.555045572916665,15.20361328125,6.907338424370988,5.59765625,37.8046875,965.5673828125,16.092789713541666,14.5263671875,7.037058121536935,5.2099609375,37.7744140625,724.0322265625,12.067203776041667,10.74951171875,5.3603040053096676,4.0205078125,28.4521484375,1001.7880859375,16.696468098958334,14.92626953125,7.377604344967498,5.4599609375,39.5830078125,2364.6041564235197,39.41006927372533,34.88928726780695,19.378461336199745,10.092367962210515,94.43079267180212,1182.3020782117599,19.705034636862663,17.444643633903475,9.689230668099873,5.0461839811052585,47.21539633590106,1292.6479012127368,21.544131686878945,18.578455435157935,11.768579469348838,4.641746207613255,56.7713443494973
Scenario,3,1745.5546875,581.8515625,415.296875,294.7106172946048,408.12890625,922.12890625,5492.806954860687,1830.935651620229,1428.0169179439545,699.2841728935098,1426.3911199569702,2638.3989169597626,635.1103515625,211.70345052083334,156.931640625,96.24088759614958,155.349609375,322.8291015625,604.1787109375,201.39290364583334,152.3466796875,87.73061298696113,149.1533203125,302.6787109375,521.0,173.66666666666666,131.640625,74.53681694902141,129.6328125,259.7265625,573.908203125,191.302734375,144.0732421875,83.35209712369148,142.291015625,287.5439453125,851.240234375,283.7467447916667,205.7490234375,137.19111562611766,203.3359375,442.1552734375,540.228515625,180.076171875,135.0908203125,79.29093948474488,133.5087890625,271.62890625,767.7841796875,255.92805989583334,187.9658203125,119.88988615786343,185.4609375,394.357421875,767.4892578125,255.82975260416666,187.8759765625,119.86586917368624,185.3818359375,394.2314453125,594.0556640625,198.0185546875,148.77734375,87.73609971264491,145.9638671875,299.314453125,813.251953125,271.083984375,198.462890625,128.54268755432676,195.2880859375,419.5009765625,1219.400472998675,406.4668243328917,296.5310711651985,194.5160789302783,291.81128686667466,631.0581149668018,609.7002364993375,203.23341216644585,148.26553558259926,97.25803946513915,145.90564343333733,315.5290574834009,879.9839994893466,293.3279998297822,212.17522777829765,145.69434546025167,206.28184478083423,461.5269269302147
Web_Interaction,12,2326.921875,193.91015625,180.068359375,61.937221458234966,119.76953125,365.7265625,2182.5430834293365,181.87859028577805,174.87414801120758,36.27967719061392,129.37258505821228,266.9834439754486,794.6953125,66.224609375,63.61572265625,15.477436798106027,44.16015625,102.1298828125,770.056640625,64.17138671875,61.119140625,15.809832828772606,42.8837890625,102.73046875,658.92578125,54.910481770833336,52.892578125,12.450791530881276,36.99609375,83.42578125,727.712890625,60.642740885416664,58.08056640625,14.613209829798404,40.5966796875,95.9365234375,1087.033203125,90.58610026041667,87.15966796875,21.793058219776196,59.056640625,142.5556640625,682.4248046875,56.868733723958336,54.75390625,13.092614281407592,38.0673828125,86.72265625,981.92578125,81.8271484375,78.4619140625,19.478665202647683,53.982421875,127.759765625,981.388671875,81.78238932291667,78.4140625,19.468280972320905,53.958984375,127.685546875,738.482421875,61.540201822916664,59.0791015625,14.38333189876652,40.9306640625,94.5966796875,1023.1015625,85.25846354166667,81.759765625,20.343509818437933,56.0458984375,133.40234375,1584.0354711792986,132.00295593160823,123.50215039338008,41.641101326315315,82.10979889383476,246.49947334325367,792.0177355896493,66.00147796580411,61.75107519669004,20.820550663157658,41.05489944691738,123.24973667162683,1054.079273933084,87.83993949442367,81.97016709657584,28.880239530243667,53.2977730903665,166.43139142931398
