Category,Original Size (KB),Original Size (MB),Number of Files,Total Delta Time (s),GZIP Size (KB),GZIP Ratio (%),GZIP Savings (%),BZIP2 Size (KB),BZIP2 Ratio (%),BZIP2 Savings (%),LZMA Size (KB),LZMA Ratio (%),LZMA Savings (%),PPMD Size (KB),PPMD Ratio (%),PPMD Savings (%),SNAPPY Size (KB),SNAPPY Ratio (%),SNAPPY Savings (%),BROTLI Size (KB),BROTLI Ratio (%),BROTLI Savings (%),LZ4 Size (KB),LZ4 Ratio (%),LZ4 Savings (%),LZ4_RAW Size (KB),LZ4_RAW Ratio (%),LZ4_RAW Savings (%),ZSTD Size (KB),ZSTD Ratio (%),ZSTD Savings (%),LZO Size (KB),LZO Ratio (%),LZO Savings (%)
Idle,7137.55859375,6.970272064208984,6,21282.31974506378,2599.1298828125,36.41483076704164,63.58516923295836,2443.4423828125,34.2335877277715,65.76641227222851,2121.75,29.726551062682827,70.27344893731717,2319.3642578125,32.495204450488856,67.50479554951114,3516.068359375,49.26149905730853,50.73850094269147,2190.7724609375,30.693582856970853,69.30641714302915,3137.0615234375,43.95146438705899,56.04853561294101,3135.794921875,43.93371880156413,56.06628119843587,2415.0966796875,33.8364532909373,66.1635467090627,3320.283203125,46.51847210098429,53.48152789901571
Physical_Interaction,3206.88671875,3.131725311279297,10,7825.001420259476,1194.2666015625,37.240685633822714,62.759314366177286,1157.619140625,36.09791184255563,63.90208815744437,995.4140625,31.03988852116356,68.96011147883644,1098.9609375,34.26877946996393,65.73122053003607,1577.767578125,49.19935490393599,50.80064509606401,1028.8017578125,32.08101339524437,67.91898660475563,1435.3828125,44.7593862329971,55.2406137670029,1434.7421875,44.73940969325049,55.26059030674951,1113.8740234375,34.73381260787636,65.26618739212364,1505.4384765625,46.943924391233224,53.056075608766776
Power,3334.40234375,3.2562522888183594,60,18490.792838335037,789.3857421875,23.673979946275043,76.32602005372496,895.3056640625,26.850558863739405,73.14944113626059,670.46875,20.107613925377837,79.89238607462217,814.212890625,24.418555611657354,75.58144438834265,1076.287109375,32.278261541903944,67.72173845809606,683.517578125,20.498953265378564,79.50104673462144,993.302734375,29.789528436388174,70.21047156361183,965.5673828125,28.957734648380345,71.04226535161965,724.0322265625,21.71400304824117,78.28599695175883,1001.7880859375,30.044007371073572,69.95599262892642
Scenario,1745.5546875,1.7046432495117188,3,5492.806954860687,635.1103515625,36.38444307191035,63.61555692808965,604.1787109375,34.61241949416151,65.38758050583849,521.0,29.847245905894887,70.15275409410512,573.908203125,32.8782711441116,67.12172885588839,851.240234375,48.766173897086794,51.233826102913206,540.228515625,30.948816413120827,69.05118358687918,767.7841796875,43.985111734719,56.014888265281,767.4892578125,43.96821613831563,56.03178386168437,594.0556640625,34.03248653946856,65.96751346053145,813.251953125,46.58988681069323,53.41011318930677
Web_Interaction,2326.921875,2.2723846435546875,12,2182.5430834293365,794.6953125,34.152212888539715,65.84778711146029,770.056640625,33.09336032714893,66.90663967285107,658.92578125,28.317486217709824,71.68251378229017,727.712890625,31.27362798224586,68.72637201775414,1087.033203125,46.71550062784123,53.28449937215877,682.4248046875,29.327362126736634,70.67263787326337,981.92578125,42.19848512318446,57.80151487681554,981.388671875,42.175402724898106,57.824597275101894,738.482421875,31.736451051885872,68.26354894811413,1023.1015625,43.968023743813916,56.031976256186084
