Category,Best Method,Compressed Size (KB),Compression Ratio (%),Space Savings (%),Original Size (KB)
Idle,LZMA,2121.75,29.726551062682827,70.27344893731717,7137.55859375
Physical_Interaction,LZMA,995.4140625,31.03988852116356,68.96011147883644,3206.88671875
Power,LZMA,670.46875,20.107613925377837,79.89238607462217,3334.40234375
Scenario,LZMA,521.0,29.847245905894887,70.15275409410512,1745.5546875
Web_Interaction,LZMA,658.92578125,28.317486217709824,71.68251378229017,2326.921875
