Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 27, 2023 16:50:40.000000",0.000000,77,0x4e11,0xffff,0x8841,66,0x4e11,0xfffc,0x1209,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:40.298971",0.298971,77,0x5bb9,0xffff,0x8841,138,0x5bb9,0xfffc,0x1209,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.569656",,52,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.571674",0.002018,5,,,0x0002,151,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.578967",,63,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.581366",0.002399,5,,,0x0002,196,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.605329",,52,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.607347",0.002018,5,,,0x0002,152,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.614546",,63,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.616944",0.002398,5,,,0x0002,220,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.618262",,45,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.620053",0.001791,5,,,0x0002,153,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.639155",,54,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.641235",0.002080,5,,,0x0002,154,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.648437",,66,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.650931",0.002494,5,,,0x0002,197,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.659723",,45,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.661517",0.001794,5,,,0x0002,155,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.678552",,54,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.680631",0.002079,5,,,0x0002,156,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.687764",,66,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.690259",0.002495,5,,,0x0002,221,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.691965",,54,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.694036",0.002071,5,,,0x0002,157,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.701609",,66,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.704103",0.002494,5,,,0x0002,55,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.723378",,45,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.731307",,52,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.735119",,52,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.738541",,52,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.743118",,52,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.749695",,63,,,,,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.752093",0.002398,5,,,0x0002,57,,,,,,AppInteraction4.pcapng
"Oct 27, 2023 16:50:41.754804",,63,,,,,,,,,,AppInteraction4.pcapng
