Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Sonoff Motion 2,Motion,Coordinator,Coordinator,Sonoff Motion 2,Motion,Coordinator,Coordinator,2023-10-15 18:31:13.000000,54,0x4e52,0x0000,62.0,0x4e52,0x0000,0.0
Coordinator,Coordinator,Sonoff Motion 2,Motion,Unknown,Unknown,,,2023-10-15 18:31:13.002110,5,0x0000,0x4e52,62.0,,,0.00211
Sonoff Motion 2,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:31:13.506354,12,0x4e52,0x0000,63.0,,,0.504244
Coordinator,Coordinator,Sonoff Motion 2,Motion,Unknown,Unknown,,,2023-10-15 18:31:13.507121,5,0x0000,0x4e52,63.0,,,0.000767
Aqara Motion,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:31:16.507858,57,0x9989,0x0000,210.0,,,3.000737
Coordinator,Coordinator,Aqara Motion,Motion,Unknown,Unknown,,,2023-10-15 18:31:16.510065,5,0x0000,0x9989,210.0,,,0.002207
Sonoff Door 1,Door,Coordinator,Coordinator,Sonoff Door 1,Door,Coordinator,Coordinator,2023-10-15 18:31:16.527820,54,0x3181,0x0000,95.0,0x3181,0x0000,0.017755
Coordinator,Coordinator,Sonoff Door 1,Door,Unknown,Unknown,,,2023-10-15 18:31:16.529930,5,0x0000,0x3181,95.0,,,0.00211
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-15 18:31:16.687562,108,,,49.0,,,0.157632
Sonoff Door 1,Door,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:31:17.032291,12,0x3181,0x0000,96.0,,,0.344729
Coordinator,Coordinator,Sonoff Door 1,Door,Unknown,Unknown,,,2023-10-15 18:31:17.033058,5,0x0000,0x3181,96.0,,,0.000767
Sonoff Motion 1,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:31:17.983419,54,0xb815,0x0000,177.0,,,0.950361
Coordinator,Coordinator,Sonoff Motion 1,Motion,Unknown,Unknown,,,2023-10-15 18:31:17.985530,5,0x0000,0xb815,177.0,,,0.002111
Sonoff Motion 1,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:31:18.488694,12,0xb815,0x0000,178.0,,,0.503164
Coordinator,Coordinator,Sonoff Motion 1,Motion,Unknown,Unknown,,,2023-10-15 18:31:18.489461,5,0x0000,0xb815,178.0,,,0.000767
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-15 18:31:20.602436,59,0x1209,0xff1f,46.0,,,2.112975
Power Plug 2,Socket,Broadcast,Broadcast,Power Plug 2,Socket,Broadcast,Broadcast,2023-10-15 18:31:20.858098,59,0xc8f0,0xffff,47.0,0xc8f0,0xfffc,0.255662
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-15 18:31:21.366211,59,0xc8f0,0x4fff,49.0,,,0.508113
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 18:31:21.620267,59,0xc8f0,0xffff,50.0,,,0.254056
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:31:22.419020,47,0x0000,0xffff,186.0,0x0000,0xfffc,0.798753
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-15 18:31:24.083926,59,0xf0ff,,,,,1.664906
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 18:31:24.593766,59,0xc860,0xffff,53.0,,,0.50984
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 18:31:25.690188,59,0xc8f0,0xffff,56.0,,,1.096422
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 18:31:26.200048,59,0xc8f0,0xffff,58.0,,,0.50986
Sonoff Door 1,Door,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:31:26.366583,54,0x3181,0x0000,97.0,,,0.166535
Coordinator,Coordinator,Sonoff Door 1,Door,Unknown,Unknown,,,2023-10-15 18:31:26.368694,5,0x0000,0x3181,97.0,,,0.002111
