Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 28, 2023 13:12:09.196407000",0.003332,57,0x1cd8,0x0000,197.0,0xc31c,0x0000
"Oct 28, 2023 13:12:09.198614000",0.002207,5,,,197.0,,
"Oct 28, 2023 13:12:09.220376000",0.021762,12,0x059b,0xec7f,179.0,,
"Oct 28, 2023 13:12:09.221130000",0.000754,5,,,179.0,,
"Oct 28, 2023 13:12:09.244628000",0.023498,53,0x1cd8,0x0000,198.0,0xc31c,0x0000
"Oct 28, 2023 13:12:09.246707000",0.002079,5,,,198.0,,
"Oct 28, 2023 13:12:09.300199000",0.053492,48,0x0000,0x1cd8,35.0,0x0000,0x1cd8
"Oct 28, 2023 13:12:09.302118000",0.001919,5,,,35.0,,
"Oct 28, 2023 13:12:09.307020000",0.004902,55,0x1cd8,0x0000,199.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:09.309163000",0.002143,5,,,199.0,,
"Oct 28, 2023 13:12:09.353645000",0.044482,50,0x1cd8,0x0000,200.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:09.355628000",0.001983,5,,,200.0,,
"Oct 28, 2023 13:12:09.448209000",0.092581,74,0x3d95,0xffff,214.0,0x3d95,0xfffc
"Oct 28, 2023 13:12:09.667570000",0.219361,55,0x1cd8,0x0000,201.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:09.669712000",0.002142,5,,,201.0,,
"Oct 28, 2023 13:12:09.672448000",0.002736,55,0x1cd8,0x0000,202.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:09.674591000",0.002143,5,,,202.0,,
"Oct 28, 2023 13:12:09.698222000",0.023631,52,0x1cd8,0x0000,203.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:09.700269000",0.002047,5,,,203.0,,
"Oct 28, 2023 13:12:09.702411000",0.002142,52,0x1cd8,0x0000,204.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:09.704457000",0.002046,5,,,204.0,,
"Oct 28, 2023 13:12:09.751480000",0.047023,12,0x059b,0xec7f,180.0,,
"Oct 28, 2023 13:12:09.752233000",0.000753,5,,,180.0,,
"Oct 28, 2023 13:12:10.250417000",0.498184,12,0x059b,0xec7f,181.0,,
"Oct 28, 2023 13:12:10.251170000",0.000753,5,,,181.0,,
"Oct 28, 2023 13:12:10.596718000",0.345548,68,0x1e15,0xffff,64.0,0x1e15,0xfffc
"Oct 28, 2023 13:12:10.673968000",0.07725,55,0x1cd8,0x0000,205.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:10.676110000",0.002142,5,,,205.0,,
"Oct 28, 2023 13:12:10.712257000",0.036147,52,0x1cd8,0x0000,206.0,0x1cd8,0x0000
"Oct 28, 2023 13:12:10.714304000",0.002047,5,,,206.0,,
"Oct 28, 2023 13:12:10.783288000",0.068984,12,0x059b,0xec7f,182.0,,
"Oct 28, 2023 13:12:10.784041000",0.000753,5,,,182.0,,
"Oct 28, 2023 13:12:11.282667000",0.498626,12,0x059b,0xec7f,183.0,,
"Oct 28, 2023 13:12:11.283420000",0.000753,5,,,183.0,,
"Oct 28, 2023 13:12:11.437985000",0.154565,53,0xe1a6,0x0000,202.0,0xe1a6,0x0000
"Oct 28, 2023 13:12:11.440064000",0.002079,5,,,202.0,,
"Oct 28, 2023 13:12:11.440988000",0.000924,53,0xe1a6,0x0000,203.0,0xe1a6,0x0000
"Oct 28, 2023 13:12:11.443067000",0.002079,5,,,203.0,,
"Oct 28, 2023 13:12:11.463881000",0.020814,45,0x0000,0xe1a6,36.0,0x0000,0xe1a6
"Oct 28, 2023 13:12:11.465672000",0.001791,5,,,36.0,,
"Oct 28, 2023 13:12:11.470997000",0.005325,45,0x0000,0xe1a6,37.0,0x0000,0xe1a6
"Oct 28, 2023 13:12:11.475780000",0.004783,45,0x0000,0xe1a6,37.0,0x0000,0xe1a6
"Oct 28, 2023 13:12:11.477574000",0.001794,5,,,37.0,,
"Oct 28, 2023 13:12:11.783295000",0.305721,12,0x059b,0xec7f,184.0,,
"Oct 28, 2023 13:12:11.784049000",0.000754,5,,,184.0,,
"Oct 28, 2023 13:12:12.059160000",0.275111,54,0x946e,0x0000,24.0,0x946e,0x0000
"Oct 28, 2023 13:12:12.061271000",0.002111,5,,,24.0,,
"Oct 28, 2023 13:12:12.073716000",0.012445,53,0x187a,0x1cd8,244.0,0x187a,0x0000
"Oct 28, 2023 13:12:12.075795000",0.002079,5,,,244.0,,
"Oct 28, 2023 13:12:12.078584000",0.002789,57,0x1cd8,0x0000,207.0,0x187a,0x0000
"Oct 28, 2023 13:12:12.080791000",0.002207,5,,,207.0,,
"Oct 28, 2023 13:12:12.116574000",0.035783,77,0x1cd8,0xffff,208.0,0x1cd8,0xfffc
"Oct 28, 2023 13:12:12.127461000",0.010887,53,0x1cd8,0x0000,209.0,0x187a,0x0000
"Oct 28, 2023 13:12:12.129539000",0.002078,5,,,209.0,,
"Oct 28, 2023 13:12:12.131858000",0.002319,53,0x1cd8,0x0000,209.0,0x187a,0x0000
"Oct 28, 2023 13:12:12.133936000",0.002078,5,,,209.0,,
"Oct 28, 2023 13:12:12.314849000",0.180913,12,0x059b,0xec7f,185.0,,
"Oct 28, 2023 13:12:12.315602000",0.000753,5,,,185.0,,
"Oct 28, 2023 13:12:12.442569000",0.126967,53,0x3d95,0x0000,215.0,0x3d95,0x0000
"Oct 28, 2023 13:12:12.444648000",0.002079,5,,,215.0,,
"Oct 28, 2023 13:12:12.457835000",0.013187,45,0x0000,0xe1a6,38.0,0x0000,0x3d95
"Oct 28, 2023 13:12:12.459629000",0.001794,5,,,38.0,,
"Oct 28, 2023 13:12:12.463241000",0.003612,45,0xe1a6,0x3d95,204.0,0x0000,0x3d95
"Oct 28, 2023 13:12:12.465033000",0.001792,5,,,204.0,,
"Oct 28, 2023 13:12:12.575727000",0.110694,12,0x946e,0x0000,25.0,,
