Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.000000",,52,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.002017",0.002017,5,,,0x0002,66.0,,,,,,physicalInteraction6.pcapng
Smart Socket,Socket,"Nov 28, 2023 17:04:40.009666",,63,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.012065",0.002399,5,,,0x0002,75.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.035694",,52,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.037727",0.002033,5,,,0x0002,67.0,,,,,,physicalInteraction6.pcapng
Ledvance Bulb,Bulb,"Nov 28, 2023 17:04:40.039595",,52,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.041610",0.002015,5,,,0x0002,12.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.048600",,45,,,,,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.052649",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.054444",0.001795,5,,,0x0002,68.0,,,,,,physicalInteraction6.pcapng
Power Plug 1,Socket,"Nov 28, 2023 17:04:40.059619",,63,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.062018",0.002399,5,,,0x0002,233.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.073132",,54,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.075212",0.00208,5,,,0x0002,69.0,,,,,,physicalInteraction6.pcapng
Smart Socket,Socket,"Nov 28, 2023 17:04:40.082990",,66,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.085485",0.002495,5,,,0x0002,76.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.102210",,54,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.104307",0.002097,5,,,0x0002,70.0,,,,,,physicalInteraction6.pcapng
Ledvance Bulb,Bulb,"Nov 28, 2023 17:04:40.106901",,54,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.108981",0.00208,5,,,0x0002,13.0,,,,,,physicalInteraction6.pcapng
Power Plug 1,Socket,"Nov 28, 2023 17:04:40.116866",,66,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.119361",0.002495,5,,,0x0002,234.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.121435",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.123244",0.001809,5,,,0x0002,71.0,,,,,,physicalInteraction6.pcapng
Ledvance Bulb,Bulb,"Nov 28, 2023 17:04:40.126373",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.128165",0.001792,5,,,0x0002,14.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.137100",,54,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.139211",0.002111,5,,,0x0002,72.0,,,,,,physicalInteraction6.pcapng
Philips Lamp 3,Bulb,"Nov 28, 2023 17:04:40.142346",,54,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.144427",0.002081,5,,,0x0002,22.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.148174",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.149967",0.001793,5,,,0x0002,73.0,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.151773",,66,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.154268",0.002495,5,,,0x0002,228.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.155540",,52,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.157587",0.002047,5,,,0x0002,74.0,,,,,,physicalInteraction6.pcapng
Philips Lamp 3,Bulb,"Nov 28, 2023 17:04:40.162329",,52,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.164345",0.002016,5,,,0x0002,23.0,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.171568",,63,,,,,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.175979",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.177789",0.00181,5,,,0x0002,75.0,,,,,,physicalInteraction6.pcapng
Ledvance Bulb,Bulb,"Nov 28, 2023 17:04:40.179984",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.181766",0.001782,5,,,0x0002,15.0,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.186692",,63,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.189091",0.002399,5,,,0x0002,229.0,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.194075",,63,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.196474",0.002399,5,,,0x0002,230.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.200111",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.201935",0.001824,5,,,0x0002,76.0,,,,,,physicalInteraction6.pcapng
Philips Lamp 3,Bulb,"Nov 28, 2023 17:04:40.205971",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.207765",0.001794,5,,,0x0002,24.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.215578",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.217401",0.001823,5,,,0x0002,77.0,,,,,,physicalInteraction6.pcapng
Philips Lamp 3,Bulb,"Nov 28, 2023 17:04:40.220458",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.222251",0.001793,5,,,0x0002,25.0,,,,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:40.225883",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.227706",0.001823,5,,,0x0002,78.0,,,,,,physicalInteraction6.pcapng
Philips Lamp 3,Bulb,"Nov 28, 2023 17:04:40.231988",,45,,,,,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.233780",0.001792,5,,,0x0002,26.0,,,,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.386040",0.15226,59,0x4308,0xffff,0x8841,58.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.709585",0.323545,59,0x4308,0xffff,0x8841,59.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:40.945646",0.236061,71,0xb1bf,0xffff,0x8841,231.0,0xb1bf,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:41.037945",0.092299,59,0x4308,0xffff,0x8841,60.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:41.358581",0.320636,59,0x4308,0xffff,0x8841,61.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Ledvance Bulb,Bulb,"Nov 28, 2023 17:04:41.732973",0.374392,71,0xec7f,0xffff,0x8841,16.0,0xec7f,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:43.391084",1.658111,59,0x4308,0xffff,0x8841,62.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Coordinator,Coordinator,"Nov 28, 2023 17:04:43.674576",0.283492,71,0x0000,0xffff,0x8841,79.0,0x0000,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:43.718591",0.044015,59,0x4308,0xffff,0x8841,63.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:44.038439",0.319848,59,0x4308,0xffff,0x8841,64.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:44.357386",0.318947,59,0x4308,0xffff,0x8841,65.0,0x4308,0xfffc,0x1209,,,physicalInteraction6.pcapng
Power Plug 1,Socket,"Nov 28, 2023 17:04:46.244521",1.887135,71,0x3d95,0xffff,0x8841,235.0,0x3d95,0xfffc,0x1209,,,physicalInteraction6.pcapng
Unknown,Unknown,"Nov 28, 2023 17:04:47.095181",0.85066,47,0x4308,0xffff,0x8841,66.0,,,,,,physicalInteraction6.pcapng
