Topology,Original Size (KB),Original Size (MB),Number of Files,Total Delta Time (s),GZIP Size (KB),GZIP Ratio (%),GZIP Savings (%),BZIP2 Size (KB),BZIP2 Ratio (%),BZIP2 Savings (%),LZMA Size (KB),LZMA Ratio (%),LZMA Savings (%),PPMD Size (KB),PPMD Ratio (%),PPMD Savings (%),SNAPPY Size (KB),SNAPPY Ratio (%),SNAPPY Savings (%),BROTLI Size (KB),BROTLI Ratio (%),BROTLI Savings (%),LZ4 Size (KB),LZ4 Ratio (%),LZ4 Savings (%),LZ4_RAW Size (KB),LZ4_RAW Ratio (%),LZ4_RAW Savings (%),ZSTD Size (KB),ZSTD Ratio (%),ZSTD Savings (%),LZO Size (KB),LZO Ratio (%),LZO Savings (%)
Topology_A,6692.5625,6.53570556640625,44,24557.41947698593,2413.4013671875,36.060946269646344,63.939053730353656,2365.458984375,35.344593111756524,64.65540688824348,2017.67578125,30.148030462920595,69.85196953707941,2231.005859375,33.33559991968696,66.66440008031304,3208.779296875,47.94545134057396,52.05454865942604,2077.455078125,31.04125031518197,68.95874968481803,2925.30078125,43.7097267489097,56.2902732510903,2905.46484375,43.41333896769735,56.58666103230265,2252.7119140625,33.65993091678262,66.34006908321737,3053.6103515625,45.626923193657134,54.373076806342866
Topology_B,11058.76171875,10.799571990966797,47,30716.044564962387,3599.1865234375,32.54601749249305,67.45398250750695,3505.1435546875,31.695624192214673,68.30437580778533,2949.8828125,26.674621332138017,73.32537866786198,3303.1533203125,29.86910654483171,70.13089345516829,4899.6171875,44.30529666981391,55.69470333018609,3048.2900390625,27.56447888640335,72.43552111359665,4390.15625,39.698443294573764,60.301556705426236,4379.517578125,39.602242000563045,60.397757999436955,3332.8291015625,30.137452875141772,69.86254712485822,4610.2529296875,41.68869035193037,58.31130964806963
