Topology,Best Method,Compressed Size (KB),Compression Ratio (%),Space Savings (%),Original Size (KB)
Topology_A,LZMA,2017.67578125,30.148030462920595,69.85196953707941,6692.5625
Topology_B,LZMA,2949.8828125,26.674621332138017,73.32537866786198,11058.76171875
