Topology,GZIP Ratio (%),BZIP2 Ratio (%),LZMA Ratio (%),PPMD Ratio (%),SNAPPY Ratio (%),BROTLI Ratio (%),LZ4 Ratio (%),LZ4_RAW Ratio (%),ZSTD Ratio (%),LZO Ratio (%)
Topology_A,36.060946269646344,35.344593111756524,30.148030462920595,33.33559991968696,47.94545134057396,31.04125031518197,43.7097267489097,43.41333896769735,33.65993091678262,45.626923193657134
Topology_B,32.54601749249305,31.695624192214673,26.674621332138017,29.86910654483171,44.30529666981391,27.56447888640335,39.698443294573764,39.602242000563045,30.137452875141772,41.68869035193037
