Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 13, 2023 18:09:17.863139",0.001793,5,,,0x0002,51,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.863932",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.865755",0.001823,5,,,0x0002,58,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.870504",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.872295",0.001791,5,,,0x0002,131,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.876548",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.878371",0.001823,5,,,0x0002,59,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.881998",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.883781",0.001783,5,,,0x0002,132,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:19.921129",2.037348,107,0x09ac,0xffff,0x886b,104,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:21.959558",2.038429,74,0x482d,0xffff,0x8841,52,0x482d,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.188200",0.228642,74,0xe5c4,0xffff,0x8841,133,0xe5c4,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.849167",,60,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.851470",0.002303,5,,,0x0002,43,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.893721",,50,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.895705",0.001984,5,,,0x0002,60,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.898939",,50,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.900883",0.001944,5,,,0x0002,53,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.906112",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.907935",0.001823,5,,,0x0002,44,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:25.558474",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:25.560490",0.002016,5,,,0x0002,211,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:25.564343",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:25.566390",0.002047,5,,,0x0002,57,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:25.569980",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:25.572027",0.002047,5,,,0x0002,57,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:26.001452",0.429425,68,0xebe5,0xffff,0x8841,232,0xebe5,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:27.125963",1.124511,74,0x0000,0xffff,0x8841,61,0x0000,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:27.283153",0.157190,74,0x054f,0xffff,0x8841,214,0x054f,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:28.294018",1.010865,71,0x6e5f,0xffff,0x8841,45,0x6e5f,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:28.844573",0.550555,74,0xe694,0xffff,0x8841,58,0xe694,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.049235",2.204662,74,0x82eb,0xffff,0x8841,178,0x82eb,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.068714",,53,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.070761",0.002047,5,,,0x0002,165,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.074701",,53,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.076779",0.002078,5,,,0x0002,59,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.125080",,48,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.126985",0.001905,5,,,0x0002,62,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.155591",0.028606,55,0x054f,0x0000,0x8861,215,0x054f,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.157734",0.002143,5,,,0x0002,215,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.164174",0.006440,55,0x054f,0x0000,0x8861,216,0x054f,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.166317",0.002143,5,,,0x0002,216,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.175630",0.009313,55,0x054f,0x0000,0x8861,217,0x054f,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.177772",0.002142,5,,,0x0002,217,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.193376",,50,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.195358",0.001982,5,,,0x0002,218,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.203546",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.205592",0.002046,5,,,0x0002,219,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.210347",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.212157",0.001810,5,,,0x0002,63,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.217273",0.005116,52,0x054f,0x0000,0x8861,220,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.228685",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.230732",0.002047,5,,,0x0002,220,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.233160",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.234969",0.001809,5,,,0x0002,64,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.250095",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.251904",0.001809,5,,,0x0002,65,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.258120",,50,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.260089",0.001969,5,,,0x0002,66,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.271436",,50,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.273405",0.001969,5,,,0x0002,67,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.277556",0.004151,55,0x054f,0x0000,0x8861,221,0x054f,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.279699",0.002143,5,,,0x0002,221,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.288124",0.008425,55,0x054f,0x0000,0x8861,222,0x054f,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.290267",0.002143,5,,,0x0002,222,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.321122",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.322945",0.001823,5,,,0x0002,223,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.336209",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.338031",0.001822,5,,,0x0002,224,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.407354",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.409361",0.002007,5,,,0x0002,212,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.413285",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:31.415332",0.002047,5,,,0x0002,60,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.148172",0.732840,55,0x054f,0x0000,0x8861,225,0x054f,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.150315",0.002143,5,,,0x0002,225,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.193392",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.195439",0.002047,5,,,0x0002,226,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.208689",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.210499",0.001810,5,,,0x0002,68,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.235281",,50,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.237250",0.001969,5,,,0x0002,69,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.240831",0.003581,55,0x054f,0x0000,0x8861,227,0x054f,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.242974",0.002143,5,,,0x0002,227,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.287459",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.289282",0.001823,5,,,0x0002,228,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.820132",,102,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.823779",0.003647,5,,,0x0002,198,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.826816",0.003037,57,0x482d,0x0000,0x8861,54,0x9989,0x0000,0x1a09,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.829023",0.002207,5,,,0x0002,54,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.876099",,102,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:32.879746",0.003647,5,,,0x0002,55,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:33.828921",0.949175,12,0x9989,0x482d,0x8863,199,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:33.829687",0.000766,5,,,0x0002,199,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:34.691591",,54,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:34.693688",0.002097,5,,,0x0002,161,,,,,,physicalInteraction2.pcapng
