File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB),GZIP Size (KB)_ratio,BZIP2 Size (KB)_ratio,LZMA Size (KB)_ratio,PPMD Size (KB)_ratio,8-bit Entropy Min Size (KB)_ratio,16-bit Entropy Min Size (KB)_ratio,8-bit Conditional Entropy Min Size (KB)_ratio
physicalInteraction1.pcapng,200.1953125,69.8779296875,69.3681640625,58.6015625,64.6005859375,141.81984173641823,70.90992086820913,95.96909756811932,2.864929075536301,2.885982571480861,3.416211171843754,3.0989705371045035,1.4116170914368706,2.8232341828737404,2.0860393352964524
physicalInteraction2.pcapng,178.91796875,62.29296875,62.859375,52.59765625,58.32421875,128.15638814322332,64.07819407161166,86.2846595315206,2.8722016680253337,2.8463211533681334,3.401633865577423,3.067644498024245,1.396090911598158,2.792181823196316,2.0735779653234836
physicalInteraction3.pcapng,197.32421875,72.39453125,71.6875,60.76953125,67.2041015625,141.0608059628035,70.53040298140175,95.63641727783614,2.725678519397831,2.7525610287707063,3.2470913415182876,2.9361930918232413,1.3988592891070868,2.7977185782141736,2.063274894298347
AppInteraction1.pcapng,155.79296875,57.296875,55.115234375,47.83984375,52.2724609375,106.02096480651302,53.01048240325651,70.7973225939927,2.719048268339242,2.826677061554272,3.2565526251326857,2.980402413735124,1.4694543577708454,2.938908715541691,2.200548877299201
AppInteraction2.pcapng,225.4375,81.9560546875,78.689453125,68.0234375,74.3544921875,154.9982402860273,77.49912014301366,105.26984738734396,2.7507119621557856,2.8649010896274416,3.3141150798208336,3.0319284466567726,1.4544519962548415,2.908903992509683,2.1415201560091095
AppInteraction3.pcapng,213.953125,75.537109375,72.4384765625,62.1953125,68.53125,145.51227564752963,72.75613782376482,98.19471511282109,2.8324240465416937,2.9535839950388936,3.440020097977641,3.1219790241678065,1.4703441620159439,2.9406883240318877,2.1788659884004753
AppInteraction4.pcapng,119.76953125,44.16015625,42.8837890625,36.99609375,40.5966796875,82.10979889383476,41.05489944691738,53.2977730903665,2.7121627598407785,2.7928859335504295,3.237356139795164,2.950229727454235,1.458650890192266,2.917301780384532,2.247177026457193
AppInteraction5.pcapng,172.90625,61.7529296875,59.669921875,51.45703125,56.53515625,118.51441610908596,59.25720805454298,78.88090287356113,2.799968371945916,2.897712022519721,3.360206482957565,3.0583845781800596,1.4589469844820344,2.917893968964069,2.1919912640598564
AppInteraction6.pcapng,211.4375,73.19140625,71.15625,60.484375,66.9931640625,145.81937450483989,72.90968725241994,97.5148988943552,2.8888295885147035,2.971453667105841,3.4957375355205373,3.156105596128336,1.449995933105461,2.899991866210922,2.168258413814952
idel1.pcapng,1013.90234375,407.6875,389.265625,341.73828125,368.9560546875,728.3057249316478,364.1528624658239,544.1560694285666,2.4869596044764677,2.6046541966041827,2.9668971823741215,2.7480300997059377,1.3921383686022182,2.7842767372044364,1.8632565190621266
idle2.pcapng,899.93359375,359.166015625,337.48046875,298.02734375,323.46484375,641.318212569546,320.659106284773,476.1567627301736,2.505620116045744,2.666624225939001,3.019634314175241,2.7821681741881723,1.4032559439474974,2.806511887894995,1.8899943551992988
idle3.pcapng,1039.02734375,404.423828125,382.6455078125,334.78515625,365.1318359375,736.9134561456932,368.4567280728466,545.3032353459768,2.5691546132856833,2.715378392104719,3.103564552826556,2.845622434105832,1.4099720056469924,2.819944011293985,1.9054120283932878
powerLedvanceBulb1.pcapng,44.65234375,12.30859375,13.5966796875,10.51171875,12.37890625,32.06137938102671,16.030689690513356,16.751527764954407,3.627737226277372,3.284062342885872,4.247863247863248,3.607131587251499,1.3927143688778523,2.7854287377557045,2.6655684410717706
powerLedvanceBulb2.pcapng,35.5390625,10.375,11.279296875,8.90625,10.439453125,25.01506068423674,12.50753034211837,12.807002038869964,3.4254518072289155,3.1508225108225107,3.9903508771929825,3.4043030869971935,1.420706627443641,2.841413254887282,2.7749712533922435
